     t604f3c |C2014 03 01.05878810 38 54.897-04 14 02.01         23.17gV     W84
     t604f3c |C2014 03 01.16373710 38 50.932-04 13 58.93         22.87gV     W84
     t604f3c |C2014 03 01.25900710 38 47.307-04 13 55.99         23.35gV     W84
     t604f3c |C2014 03 01.35114510 38 43.828-04 13 53.19         23.31gV     W84
     t604f3c |C2014 03 02.14706910 38 14.366-04 13 27.46         23.32gV     W84
     t604f3c |C2014 03 02.33394510 38 07.289-04 13 21.46         23.64gV     W84
     t604f3c |C2014 03 03.13692910 37 37.628-04 12 53.16         23.29gV     W84
     t604f3c |C2014 03 03.22819310 37 34.174-04 12 50.06         23.09gV     W84
     t604f3c |C2014 03 03.34038010 37 29.942-04 12 45.75         23.35gV     W84


     t604f3c |C2014 03 03.34038010 37 29.942-04 12 45.75         23.35gV     W84
