     t60a09b |C2019 03 13.40445916 26 58.631-25 11 25.34         22.79rV     W84
     t60a09b |C2019 03 13.40650516 26 58.811-25 11 25.77         22.76rV     W84
     t60a09b |C2019 03 14.40167616 28 20.045-25 13 53.75         23.17rV     W84
     t60a09b |C2019 03 14.40269616 28 20.133-25 13 54.04         22.41rV     W84
     t60a09b |C2019 03 14.40575116 28 20.325-25 13 54.30         22.22rV     W84
     t60a09b |C2019 03 14.40802216 28 20.555-25 13 54.68         22.63iV     W84
     t60a09b |C2019 03 16.39872516 30 59.398-25 18 31.96         22.91rV     W84
     t60a09b |C2019 03 16.40077016 30 59.555-25 18 32.22         22.92rV     W84
     t60a09b |C2019 03 16.40178716 30 59.639-25 18 32.34         23.13rV     W84
     t60a09b |C2019 03 16.40481916 30 59.859-25 18 32.76         22.61iV     W84
     t60a09b |C2019 03 16.40584616 30 59.927-25 18 32.92         22.78iV     W84
     t60a09b |C2019 03 16.40685416 31 00.017-25 18 32.96         22.86iV     W84


     t60a09b |C2019 03 16.40685416 31 00.017-25 18 32.96         22.86iV     W84
