     t635398 |C2014 02 22.21095511 38 48.358-11 54 20.68         22.05iV     W84
     t635398 |C2014 02 22.23447611 38 47.771-11 54 16.05         22.01iV     W84
     t635398 |C2014 02 22.26674611 38 46.955-11 54 09.61         22.01iV     W84
     t635398 |C2014 02 22.29593811 38 46.225-11 54 03.82         22.13iV     W84
     t635398 |C2014 02 22.31862111 38 45.654-11 53 59.16         22.03iV     W84
     t635398 |C2014 02 22.34441611 38 44.999-11 53 54.03         21.95iV     W84
     t635398 |C2014 02 23.26712311 38 22.392-11 50 46.60         22.71gV     W84
     t635398 |C2014 02 23.26862111 38 22.357-11 50 46.21         22.53gV     W84
     t635398 |C2014 02 24.24654111 37 57.971-11 47 21.80         22.03iV     W84
     t635398 |C2014 02 24.24720711 37 57.951-11 47 21.66         22.06iV     W84
     t635398 |C2014 02 24.24927411 37 57.892-11 47 21.21         21.97iV     W84
     t635398 |C2014 02 24.25250211 37 57.810-11 47 20.53         21.82iV     W84
     t635398 |C2014 02 24.26221011 37 57.559-11 47 18.49         21.84iV     W84
     t635398 |C2014 02 24.26545011 37 57.473-11 47 17.74         21.96iV     W84


     t635398 |C2014 02 24.26545011 37 57.473-11 47 17.74         21.96iV     W84
