     t69cb70 |C2013 06 08.99119515 17 16.097+02 17 01.35         22.35rV     W84
     t69cb70 |C2013 06 09.10506315 17 12.298+02 17 05.01         22.39rV     W84
     t69cb70 |C2013 06 09.10563715 17 12.280+02 17 05.25         22.00rV     W84
     t69cb70 |C2013 06 09.19320915 17 09.375+02 17 07.96         23.08rV     W84
     t69cb70 |C2013 06 09.19492115 17 09.314+02 17 08.01         22.36iV     W84
     t69cb70 |C2013 06 09.24644915 17 07.610+02 17 09.64         22.82rV     W84
     t69cb70 |C2013 06 10.06256615 16 42.116+02 17 31.92         22.42rV     W84
     t69cb70 |C2013 06 10.07001315 16 41.880+02 17 32.14         22.63rV     W84


     t69cb70 |C2013 06 10.07001315 16 41.880+02 17 32.14         22.63rV     W84
