     t6a1aed |C2013 01 04.30795108 18 50.524+06 33 47.74         22.49rV     W84
     t6a1aed |C2013 01 04.31844108 18 50.107+06 33 49.65         23.07rV     W84
     t6a1aed |C2013 01 05.29536508 18 08.911+06 36 42.45         22.28rV     W84
     t6a1aed |C2013 01 05.32687408 18 07.541+06 36 48.31         22.55rV     W84
     t6a1aed |C2013 01 06.31565908 17 25.127+06 39 51.20         21.49rV     W84
     t6a1aed |C2013 01 06.32618008 17 24.661+06 39 53.49         22.61rV     W84
     t6a1aed |C2013 01 06.33675108 17 24.196+06 39 55.54         22.85rV     W84
     t6a1aed |C2013 01 06.34713008 17 23.742+06 39 57.30         22.88rV     W84


     t6a1aed |C2013 01 06.34713008 17 23.742+06 39 57.30         22.88rV     W84
