     t6bea8c |C2014 04 23.30793914 40 25.109-05 27 16.25         22.50VV     W84
     t6bea8c |C2014 04 23.31112114 40 24.881-05 27 16.96         22.48VV     W84
     t6bea8c |C2014 04 23.31428314 40 24.664-05 27 17.63         22.58VV     W84
     t6bea8c |C2014 04 23.31745914 40 24.462-05 27 18.40         22.43VV     W84
     t6bea8c |C2014 04 23.32067014 40 24.244-05 27 19.05         22.51VV     W84
     t6bea8c |C2014 04 24.32931714 39 17.264-05 30 55.42         22.71VV     W84
     t6bea8c |C2014 04 24.33247714 39 17.051-05 30 56.13         22.63VV     W84
     t6bea8c |C2014 04 24.33563614 39 16.834-05 30 56.76         22.48VV     W84
     t6bea8c |C2014 04 24.33881714 39 16.626-05 30 57.43         22.73VV     W84
     t6bea8c |C2014 04 24.34197814 39 16.399-05 30 58.29         22.78VV     W84
     t6bea8c |C2014 04 25.34610714 38 09.456-05 34 37.20         22.82VV     W84
     t6bea8c |C2014 04 25.34930814 38 09.247-05 34 37.86         22.63VV     W84
     t6bea8c |C2014 04 25.35567214 38 08.815-05 34 39.26         22.52VV     W84
     t6bea8c |C2014 04 25.35885114 38 08.588-05 34 39.93         22.64VV     W84


     t6bea8c |C2014 04 25.35885114 38 08.588-05 34 39.93         22.64VV     W84
