     t6d5af9 |C2013 01 05.29536508 20 02.889+07 36 30.22         22.46rV     W84
     t6d5af9 |C2013 01 05.31623108 20 02.272+07 36 31.53         22.08rV     W84
     t6d5af9 |C2013 01 06.31565908 19 33.761+07 37 45.42         23.13rV     W84
     t6d5af9 |C2013 01 06.32618008 19 33.465+07 37 46.20         22.58rV     W84
     t6d5af9 |C2013 01 06.33675108 19 33.114+07 37 47.60         22.40rV     W84
     t6d5af9 |C2013 01 07.28994408 19 05.654+07 39 01.32         22.78rV     W84
     t6d5af9 |C2013 01 07.31087108 19 05.025+07 39 02.96         23.04rV     W84
     t6d5af9 |C2013 01 07.32129808 19 04.721+07 39 03.78         23.17rV     W84


     t6d5af9 |C2013 01 07.32129808 19 04.721+07 39 03.78         23.17rV     W84
