     t6dcc66 |C2014 03 08.05488810 20 01.583-00 36 19.43         22.90rV     W84
     t6dcc66 |C2014 03 08.22185410 19 56.247-00 36 03.03         23.13iV     W84
     t6dcc66 |C2014 03 08.28234210 19 54.296-00 35 56.70         23.52gV     W84
     t6dcc66 |C2014 03 08.28962210 19 54.039-00 35 56.13         22.87rV     W84
     t6dcc66 |C2014 03 09.09314710 19 29.068-00 34 36.12         22.67rV     W84
     t6dcc66 |C2014 03 09.14894610 19 27.288-00 34 30.62         23.37gV     W84
     t6dcc66 |C2014 03 09.19713910 19 25.744-00 34 25.75         22.71rV     W84
     t6dcc66 |C2014 03 09.22491210 19 24.860-00 34 22.93         22.82rV     W84
     t6dcc66 |C2014 03 09.27595510 19 23.245-00 34 17.88         22.79rV     W84
     t6dcc66 |C2014 03 09.31574310 19 21.992-00 34 13.90         23.11rV     W84
     t6dcc66 |C2014 03 10.01161610 19 00.605-00 33 03.73         23.39rV     W84
     t6dcc66 |C2014 03 10.04141610 18 59.673-00 33 00.65         22.75rV     W84
     t6dcc66 |C2014 03 10.11024810 18 57.508-00 32 53.70         23.52gV     W84
     t6dcc66 |C2014 03 10.12511310 18 57.057-00 32 52.18         22.61rV     W84
     t6dcc66 |C2014 03 10.23800510 18 53.484-00 32 40.91         23.60rV     W84
     t6dcc66 |C2014 03 10.28505710 18 51.992-00 32 36.13         23.49rV     W84


     t6dcc66 |C2014 03 10.28505710 18 51.992-00 32 36.13         23.49rV     W84
     tc00c69 |C2014 03 10.28505710 17 01.648-00 33 42.31         23.10rV     W84
