     t7126a8 |C2014 02 02.08285602 26 53.340-04 12 50.35         23.13gV     W84
     t7126a8 |C2014 02 02.08554302 26 53.392-04 12 49.53         23.56gV     W84
     t7126a8 |C2014 02 04.06102602 27 33.373-04 04 10.58         22.59iV     W84
     t7126a8 |C2014 02 04.06554402 27 33.472-04 04 09.44         22.89iV     W84
     t7126a8 |C2014 02 04.07454502 27 33.644-04 04 07.15         23.24iV     W84
     t7126a8 |C2014 02 04.07904502 27 33.740-04 04 05.87         23.13iV     W84
     t7126a8 |C2014 02 05.05579602 27 54.375-03 59 47.01         23.17rV     W84
     t7126a8 |C2014 02 05.06078802 27 54.469-03 59 45.75         23.41rV     W84


     t7126a8 |C2014 02 05.06078802 27 54.469-03 59 45.75         23.41rV     W84
