     t7494cc |C2015 01 18.23087109 05 28.828-03 05 04.65         23.18gV     W84
     t7494cc |C2015 01 18.26121709 05 27.258-03 05 07.51         23.33gV     W84
     t7494cc |C2015 01 18.29388909 05 25.565-03 05 10.61         23.44gV     W84
     t7494cc |C2015 01 18.31076409 05 24.666-03 05 12.13         23.67gV     W84
     t7494cc |C2015 01 18.33430209 05 23.460-03 05 14.06         23.50gV     W84
     t7494cc |C2015 01 18.35227709 05 22.533-03 05 15.82         23.63gV     W84
     t7494cc |C2015 01 19.21103209 04 39.477-03 06 29.34         23.83gV     W84
     t7494cc |C2015 01 19.24105309 04 37.899-03 06 31.72         23.54gV     W84
     t7494cc |C2015 01 19.26231109 04 36.779-03 06 33.45         23.40gV     W84
     t7494cc |C2015 01 19.29254609 04 35.181-03 06 35.80         23.60gV     W84
     t7494cc |C2015 01 19.31833209 04 33.836-03 06 37.75         23.64gV     W84
     t7494cc |C2015 01 19.36318509 04 31.480-03 06 41.37         23.30gV     W84
     t7494cc |C2015 01 20.21434909 03 48.125-03 07 42.18         23.46gV     W84
     t7494cc |C2015 01 20.24395409 03 46.521-03 07 44.46         23.74gV     W84
     t7494cc |C2015 01 20.26933209 03 45.165-03 07 45.94         23.13gV     W84
     t7494cc |C2015 01 20.30646209 03 43.189-03 07 48.51         23.34gV     W84
     t7494cc |C2015 01 20.32931509 03 41.971-03 07 49.75         23.60gV     W84
     t7494cc |C2015 01 20.35653009 03 40.513-03 07 51.62         23.49gV     W84
     t7494cc |C2015 01 21.21031409 02 56.352-03 08 41.07         22.96gV     W84
     t7494cc |C2015 01 21.24166309 02 54.659-03 08 42.89         23.33gV     W84
     t7494cc |C2015 01 21.26753009 02 53.275-03 08 44.13         23.96gV     W84
     t7494cc |C2015 01 21.28779509 02 52.166-03 08 45.26         23.45gV     W84
     t7494cc |C2015 01 21.32342509 02 50.245-03 08 46.84         23.23gV     W84
     t7494cc |C2015 01 21.35972509 02 48.279-03 08 48.63         23.36gV     W84
     t7494cc |C2015 01 22.24727009 02 01.692-03 09 27.70         22.74gV     W84
     t7494cc |C2015 01 22.27899709 01 59.962-03 09 28.76         23.31gV     W84
     t7494cc |C2015 01 22.30113209 01 58.734-03 09 29.85         23.53gV     W84
