     t74b823 |C2014 03 01.05644010 36 14.309-02 49 11.10         23.65gV     W84
     t74b823 |C2014 03 01.16134210 36 09.025-02 48 35.72         23.71gV     W84
     t74b823 |C2014 03 01.25662810 36 04.211-02 48 03.41         23.40gV     W84
     t74b823 |C2014 03 01.34895110 35 59.558-02 47 31.74         23.86gV     W84
     t74b823 |C2014 03 02.14489210 35 20.945-02 43 00.17         23.74gV     W84
     t74b823 |C2014 03 02.23605310 35 16.336-02 42 28.69         23.84gV     W84
     t74b823 |C2014 03 02.33176110 35 11.519-02 41 55.46         23.16gV     W84
     t74b823 |C2014 03 03.13469610 34 32.625-02 37 16.30         23.14gV     W84
     t74b823 |C2014 03 03.22600110 34 28.023-02 36 44.35         23.29gV     W84
     t74b823 |C2014 03 03.33817910 34 22.389-02 36 04.87         23.81gV     W84
     t74b823 |C2014 03 04.22852210 33 39.236-02 30 50.15         23.40gV     W84
     t74b823 |C2014 03 04.33214610 33 34.053-02 30 13.34         23.51gV     W84


     t74b823 |C2014 03 04.33214610 33 34.053-02 30 13.34         23.51gV     W84
