     t76134b |C2013 01 05.29104908 10 36.936+06 28 10.99         22.00rV     W84
     t76134b |C2013 01 05.30144708 10 36.396+06 28 18.83         22.25rV     W84
     t76134b |C2013 01 05.31186908 10 35.820+06 28 27.20         22.63rV     W84
     t76134b |C2013 01 05.32259108 10 35.240+06 28 35.41         22.47rV     W84
     t76134b |C2013 01 06.31138008 09 43.134+06 41 36.60         22.42rV     W84
     t76134b |C2013 01 06.32179808 09 42.563+06 41 44.71         22.79rV     W84
     t76134b |C2013 01 06.33233708 09 41.987+06 41 53.22         22.75rV     W84
     t76134b |C2013 01 07.28568008 08 51.118+06 54 37.06         22.74rV     W84
     t76134b |C2013 01 07.30641208 08 49.957+06 54 53.68         22.61rV     W84
     t76134b |C2013 01 07.31695908 08 49.361+06 55 02.20         22.86rV     W84


     t76134b |C2013 01 07.31695908 08 49.361+06 55 02.20         22.86rV     W84
