     t79160f |C2014 03 03.16989811 14 52.088-04 20 48.29         23.52gV     W84
     t79160f |C2014 03 03.27020511 14 49.048-04 20 32.83         23.11gV     W84
     t79160f |C2014 03 03.37337811 14 45.941-04 20 16.60         22.83gV     W84
     t79160f |C2014 03 04.17289311 14 22.487-04 18 12.71         23.26gV     W84
     t79160f |C2014 03 04.26353611 14 19.736-04 17 58.70         23.36gV     W84
     t79160f |C2014 03 04.36747811 14 16.625-04 17 42.05         23.30gV     W84
     t79160f |C2014 03 05.18691011 13 52.475-04 15 32.56         23.56gV     W84
     t79160f |C2014 03 05.28024711 13 49.656-04 15 17.67         23.57gV     W84


     t79160f |C2014 03 05.28024711 13 49.656-04 15 17.67         23.57gV     W84
