     t857ca3 |C2015 04 13.18574414 39 47.233-18 10 51.25         23.51VV     W84
     t857ca3 |C2015 04 13.39545914 39 41.460-18 09 58.44         23.09VV     W84
     t857ca3 |C2015 04 25.30418414 34 00.025-17 16 40.98         23.18VV     W84
     t857ca3 |C2015 04 25.33869114 33 58.980-17 16 31.19         23.12VV     W84
     t857ca3 |C2015 04 26.30001814 33 30.189-17 11 59.81         23.71VV     W84
     t857ca3 |C2015 04 26.35069714 33 28.653-17 11 45.50         23.42VV     W84
     t857ca3 |C2015 04 26.36981614 33 28.053-17 11 39.94         23.44VV     W84
     t857ca3 |C2015 04 26.38521514 33 27.564-17 11 34.89         23.44gV     W84


     t857ca3 |C2015 04 26.38521514 33 27.564-17 11 34.89         23.44gV     W84
