     t872989 |C2013 01 05.24722007 55 26.334+04 23 58.92         22.29rV     W84
     t872989 |C2013 01 05.26903707 55 24.788+04 24 26.24         22.30rV     W84
     t872989 |C2013 01 05.27867307 55 24.110+04 24 38.27         22.53rV     W84
     t872989 |C2013 01 05.27952507 55 24.049+04 24 39.42         22.47rV     W84
     t872989 |C2013 01 06.26959807 54 17.347+04 45 35.37         22.92rV     W84
     t872989 |C2013 01 06.27999407 54 16.608+04 45 48.80         22.57rV     W84
     t872989 |C2013 01 06.30104407 54 15.078+04 46 16.05         22.05rV     W84
     t872989 |C2013 01 07.26489807 53 08.791+05 07 08.37         23.02rV     W84
     t872989 |C2013 01 07.27540007 53 08.027+05 07 22.09         22.79rV     W84


     t872989 |C2013 01 07.27540007 53 08.027+05 07 22.09         22.79rV     W84
