     t87f5e3 |C2014 03 03.05610510 49 54.227+00 02 30.80         23.50gV     W84
     t87f5e3 |C2014 03 03.14792810 49 50.957+00 02 38.10         23.21gV     W84
     t87f5e3 |C2014 03 03.23913810 49 47.704+00 02 45.46         23.53gV     W84
     t87f5e3 |C2014 03 04.15093410 49 16.060+00 04 00.46         23.59gV     W84
     t87f5e3 |C2014 03 04.24164610 49 12.855+00 04 07.74         23.92gV     W84
     t87f5e3 |C2014 03 04.34536410 49 09.179+00 04 16.48         23.50gV     W84
     t87f5e3 |C2014 03 05.15974010 48 41.004+00 05 24.96         23.65gV     W84
     t87f5e3 |C2014 03 05.34998810 48 34.254+00 05 41.14         23.62gV     W84


     t87f5e3 |C2014 03 05.34998810 48 34.254+00 05 41.14         23.62gV     W84
