     t88f6c8 |C2015 06 12.97472014 42 58.469-11 10 51.16         22.26zV     W84
     t88f6c8 |C2015 06 12.98495214 42 58.223-11 10 50.59         22.56rV     W84
     t88f6c8 |C2015 06 12.98836014 42 58.133-11 10 50.30         22.76rV     W84
     t88f6c8 |C2015 06 12.99517514 42 57.969-11 10 49.88         23.13gV     W84
     t88f6c8 |C2015 06 12.99857914 42 57.890-11 10 49.64         23.28gV     W84
     t88f6c8 |C2015 06 14.98531714 42 15.809-11 08 53.26         23.29gV     W84
     t88f6c8 |C2015 06 14.98679214 42 15.777-11 08 53.27         22.69rV     W84
     t88f6c8 |C2015 06 15.00886314 42 15.315-11 08 52.16         23.48gV     W84
     t88f6c8 |C2015 06 15.01024714 42 15.291-11 08 52.12         22.93rV     W84


     t88f6c8 |C2015 06 15.01024714 42 15.291-11 08 52.12         22.93rV     W84
