     t8bff63 |C2015 06 13.97984714 46 50.999-09 44 45.95         22.73rV     W84
     t8bff63 |C2015 06 13.98668214 46 50.851-09 44 45.82         22.47rV     W84
     t8bff63 |C2015 06 13.99009114 46 50.781-09 44 45.65         22.85gV     W84
     t8bff63 |C2015 06 13.99691514 46 50.637-09 44 45.57         22.90gV     W84
     t8bff63 |C2015 06 14.04112614 46 49.667-09 44 44.01         23.15gV     W84
     t8bff63 |C2015 06 14.04261214 46 49.647-09 44 44.00         22.63rV     W84
     t8bff63 |C2015 06 15.02073814 46 30.928-09 44 14.08         22.98gV     W84
     t8bff63 |C2015 06 15.02221814 46 30.884-09 44 14.15         22.33rV     W84
     t8bff63 |C2015 06 15.99181914 46 13.773-09 43 52.81         23.19gV     W84
     t8bff63 |C2015 06 15.99344914 46 13.735-09 43 52.78         22.47rV     W84


     t8bff63 |C2015 06 15.99344914 46 13.735-09 43 52.78         22.47rV     W84
