     t8fe255 |C2015 01 19.21846109 06 32.427-02 09 22.02         23.17gV     W84
     t8fe255 |C2015 01 19.25224109 06 30.473-02 09 29.02         23.24gV     W84
     t8fe255 |C2015 01 19.28806509 06 28.419-02 09 36.53         23.42gV     W84
     t8fe255 |C2015 01 19.31608709 06 26.808-02 09 42.22         23.36gV     W84
     t8fe255 |C2015 01 19.33964709 06 25.450-02 09 47.07         23.35gV     W84
     t8fe255 |C2015 01 19.36318509 06 24.115-02 09 51.97         23.27gV     W84
     t8fe255 |C2015 01 20.21434909 05 37.070-02 12 40.24         23.72gV     W84
     t8fe255 |C2015 01 20.21547209 05 36.992-02 12 40.27         23.51gV     W84
     t8fe255 |C2015 01 20.21660109 05 36.930-02 12 40.65         23.81gV     W84
     t8fe255 |C2015 01 20.21999409 05 36.722-02 12 41.26         23.62gV     W84
     t8fe255 |C2015 01 21.20796509 04 40.963-02 15 41.29         23.09gV     W84
     t8fe255 |C2015 01 21.24290309 04 38.897-02 15 47.31         23.41gV     W84
     t8fe255 |C2015 01 21.27327209 04 37.078-02 15 52.58         23.09gV     W84
     t8fe255 |C2015 01 21.30172909 04 35.397-02 15 57.50         23.22gV     W84
     t8fe255 |C2015 01 21.32900409 04 33.784-02 16 02.22         23.03gV     W84
     t8fe255 |C2015 01 21.36468209 04 31.689-02 16 08.35         23.18gV     W84
     t8fe255 |C2015 01 22.21258409 03 43.431-02 18 27.54         23.04gV     W84
     t8fe255 |C2015 01 22.24357209 03 41.571-02 18 32.44         22.63gV     W84
     t8fe255 |C2015 01 22.31369009 03 37.370-02 18 43.31         22.43gV     W84
     t8fe255 |C2015 01 22.33137709 03 36.306-02 18 45.97         23.18gV     W84
     t8fe255 |C2015 01 22.34879609 03 35.252-02 18 48.83         22.79gV     W84
     t8fe255 |C2015 01 22.36934409 03 34.021-02 18 51.72         22.90gV     W84
     t8fe255 |C2015 01 23.23940709 02 43.828-02 21 00.21         22.45gV     W84
     t8fe255 |C2015 01 23.31331009 02 39.358-02 21 10.47         22.80gV     W84
     t8fe255 |C2015 01 23.32565209 02 38.612-02 21 12.15         22.59gV     W84
     t8fe255 |C2015 01 23.34024309 02 37.729-02 21 14.14         22.80gV     W84
     t8fe255 |C2015 01 23.35366309 02 36.923-02 21 16.08         22.96gV     W84
     t8fe255 |C2015 01 23.36488609 02 36.238-02 21 17.61         22.71gV     W84
     t8fe255 |C2015 01 25.35102709 00 39.267-02 25 18.72         22.67gV     W84
     t8fe255 |C2015 01 25.35774209 00 38.872-02 25 19.44         22.52gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84


     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
