     t973e06 |C2014 03 01.08705911 12 44.458+01 58 44.04         23.02gV     W84
     t973e06 |C2014 03 01.19220311 12 41.158+01 58 59.22         22.89gV     W84
     t973e06 |C2014 03 01.28731311 12 38.170+01 59 12.93         22.91gV     W84
     t973e06 |C2014 03 01.37838211 12 35.338+01 59 25.96         22.96gV     W84
     t973e06 |C2014 03 02.17406911 12 11.006+02 01 21.34         22.95gV     W84
     t973e06 |C2014 03 02.26460711 12 08.159+02 01 34.43         22.58gV     W84
     t973e06 |C2014 03 02.36042111 12 05.142+02 01 48.31         22.74gV     W84
     t973e06 |C2014 03 03.07153211 11 43.396+02 03 32.54         22.77gV     W84
     t973e06 |C2014 03 03.16332011 11 40.500+02 03 45.84         23.20gV     W84
     t973e06 |C2014 03 03.25452211 11 37.621+02 03 59.27         22.85gV     W84


     t973e06 |C2014 03 03.25452211 11 37.621+02 03 59.27         22.85gV     W84
