     t9eab7c |C2015 01 18.20955209 06 29.198-02 16 19.64         22.77gV     W84
     t9eab7c |C2015 01 18.25670609 06 26.958-02 16 31.31         22.51gV     W84
     t9eab7c |C2015 01 18.28146409 06 25.787-02 16 37.47         22.81gV     W84
     t9eab7c |C2015 01 18.31187609 06 24.332-02 16 44.98         22.66gV     W84
     t9eab7c |C2015 01 18.33765909 06 23.120-02 16 51.23         22.70gV     W84
     t9eab7c |C2015 01 18.36236209 06 21.956-02 16 57.44         22.88gV     W84
     t9eab7c |C2015 01 19.31047309 05 38.550-02 20 43.92         22.81gV     W84
     t9eab7c |C2015 01 19.32621809 05 37.796-02 20 47.57         22.96gV     W84
     t9eab7c |C2015 01 19.35199209 05 36.557-02 20 53.33         21.96gV     W84
     t9eab7c |C2015 01 19.35870609 05 36.233-02 20 55.05         22.87gV     W84
     t9eab7c |C2015 01 19.36205909 05 36.060-02 20 55.78         22.33gV     W84
     t9eab7c |C2015 01 19.36764909 05 35.815-02 20 57.02         21.96gV     W84
     t9eab7c |C2015 01 20.21434909 04 56.500-02 24 07.49         22.93gV     W84
     t9eab7c |C2015 01 20.31015109 04 51.757-02 24 28.48         22.66gV     W84
     t9eab7c |C2015 01 20.34785209 04 49.901-02 24 36.63         22.47gV     W84
     t9eab7c |C2015 01 20.35404809 04 49.598-02 24 37.87         22.78gV     W84
     t9eab7c |C2015 01 20.36024909 04 49.306-02 24 39.24         23.13gV     W84
     t9eab7c |C2015 01 20.36767209 04 48.927-02 24 40.95         22.91gV     W84
     t9eab7c |C2015 01 21.23128509 04 08.025-02 27 42.22         22.12gV     W84
     t9eab7c |C2015 01 21.25030309 04 07.048-02 27 46.19         22.24gV     W84
     t9eab7c |C2015 01 21.30905109 04 04.085-02 27 57.95         22.54gV     W84
     t9eab7c |C2015 01 21.34258509 04 02.426-02 28 04.83         23.10gV     W84
     t9eab7c |C2015 01 21.35601309 04 01.742-02 28 07.54         22.93gV     W84
     t9eab7c |C2015 01 21.36468209 04 01.307-02 28 09.38         23.10gV     W84
     t9eab7c |C2015 01 22.21026909 03 20.600-02 30 54.47         22.79gV     W84
     t9eab7c |C2015 01 22.23412909 03 19.386-02 30 58.92         22.50gV     W84
     t9eab7c |C2015 01 22.27776309 03 17.143-02 31 07.23         22.57gV     W84
     t9eab7c |C2015 01 22.31998309 03 14.992-02 31 15.06         22.71gV     W84
     t9eab7c |C2015 01 22.35373409 03 13.275-02 31 21.26         22.69gV     W84
     t9eab7c |C2015 01 22.37068409 03 12.425-02 31 24.63         22.58gV     W84
     t9eab7c |C2015 01 23.30320409 02 26.547-02 34 12.10         22.54gV     W84
     t9eab7c |C2015 01 23.32676609 02 25.336-02 34 16.24         22.94gV     W84
     t9eab7c |C2015 01 23.34918709 02 24.175-02 34 20.03         22.66gV     W84
     t9eab7c |C2015 01 23.36035509 02 23.598-02 34 21.93         22.57gV     W84
     t9eab7c |C2015 01 23.36611009 02 23.299-02 34 22.88         22.27gV     W84
     t9eab7c |C2015 01 23.36983209 02 23.116-02 34 23.66         22.76gV     W84
     t9eab7c |C2015 01 24.21451309 01 41.211-02 36 43.31         22.64gV     W84
     t9eab7c |C2015 01 24.26288809 01 38.670-02 36 50.89         22.58gV     W84
     t9eab7c |C2015 01 24.28414809 01 37.530-02 36 54.39         21.91gV     W84
     t9eab7c |C2015 01 24.32239109 01 35.547-02 37 00.41         22.48gV     W84
     t9eab7c |C2015 01 24.34603509 01 34.311-02 37 04.01         22.77gV     W84
     t9eab7c |C2015 01 24.36814409 01 33.169-02 37 07.47         22.30gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84


     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
