     ta1bb36 |C2015 05 31.02046312 19 54.280-09 04 40.26         22.72rV     W84
     ta1bb36 |C2015 05 31.05053912 19 54.594-09 04 47.62         22.89rV     W84
     ta1bb36 |C2015 05 31.95999112 20 06.547-09 08 35.46         23.01rV     W84
     ta1bb36 |C2015 06 01.12230512 20 08.496-09 09 16.68         22.81rV     W84
     ta1bb36 |C2015 06 01.12611712 20 08.548-09 09 17.57         22.62rV     W84
     ta1bb36 |C2015 06 01.15850412 20 08.956-09 09 25.90         22.76rV     W84
     ta1bb36 |C2015 06 01.16230212 20 09.004-09 09 26.60         22.73rV     W84
     ta1bb36 |C2015 06 01.16610112 20 09.056-09 09 27.51         22.62rV     W84
     ta1bb36 |C2015 06 02.00523712 20 21.655-09 13 03.76         23.06rV     W84
     ta1bb36 |C2015 06 02.07710612 20 22.624-09 13 22.50         23.30rV     W84
     ta1bb36 |C2015 06 02.95218512 20 36.967-09 17 13.02         22.72rV     W84
     ta1bb36 |C2015 06 02.99265112 20 37.588-09 17 23.79         23.11rV     W84
     ta1bb36 |C2015 06 02.99644212 20 37.626-09 17 24.83         22.71rV     W84
     ta1bb36 |C2015 06 03.07212512 20 38.770-09 17 44.93         22.68rV     W84


     ta1bb36 |C2015 06 03.07212512 20 38.770-09 17 44.93         22.68rV     W84
