     ta2d659 |C2015 01 18.33990009 06 44.458-02 37 07.11         23.08gV     W84
     ta2d659 |C2015 01 18.34777709 06 44.113-02 37 06.69         23.10gV     W84
     ta2d659 |C2015 01 18.35002709 06 44.031-02 37 06.45         23.07gV     W84
     ta2d659 |C2015 01 18.35339109 06 43.880-02 37 06.27         23.16gV     W84
     ta2d659 |C2015 01 18.35787709 06 43.694-02 37 06.02         23.34gV     W84
     ta2d659 |C2015 01 18.36464109 06 43.392-02 37 05.79         23.04gV     W84
     ta2d659 |C2015 01 19.21333309 06 07.775-02 36 12.92         23.78gV     W84
     ta2d659 |C2015 01 19.24776809 06 06.242-02 36 10.70         23.08gV     W84
     ta2d659 |C2015 01 19.27238109 06 05.161-02 36 09.03         23.47gV     W84
     ta2d659 |C2015 01 19.30151709 06 03.869-02 36 07.05         23.53gV     W84
     ta2d659 |C2015 01 19.33852709 06 02.232-02 36 04.59         23.09gV     W84
     ta2d659 |C2015 01 19.35870609 06 01.351-02 36 03.20         23.34gV     W84
     ta2d659 |C2015 01 20.20685709 05 25.135-02 34 59.59         23.60gV     W84
     ta2d659 |C2015 01 20.23902009 05 23.682-02 34 57.06         23.34gV     W84
     ta2d659 |C2015 01 20.25943709 05 22.763-02 34 55.32         23.30gV     W84
     ta2d659 |C2015 01 20.28045209 05 21.833-02 34 53.87         23.66gV     W84
     ta2d659 |C2015 01 20.33301509 05 19.464-02 34 49.53         23.76gV     W84
     ta2d659 |C2015 01 20.35528009 05 18.471-02 34 47.77         23.43gV     W84
     ta2d659 |C2015 01 21.20796509 04 41.482-02 33 33.02         23.32gV     W84
     ta2d659 |C2015 01 21.22011909 04 40.924-02 33 31.76         23.22gV     W84
     ta2d659 |C2015 01 21.22793209 04 40.560-02 33 31.23         23.43gV     W84
     ta2d659 |C2015 01 21.24783309 04 39.664-02 33 29.39         23.49gV     W84
     ta2d659 |C2015 01 21.26753009 04 38.758-02 33 27.49         23.44gV     W84
     ta2d659 |C2015 01 21.30172909 04 37.199-02 33 24.40         23.43gV     W84
     ta2d659 |C2015 01 22.22873509 03 56.271-02 31 51.70         22.97gV     W84
     ta2d659 |C2015 01 22.25628809 03 55.017-02 31 48.56         23.10gV     W84
     ta2d659 |C2015 01 22.29743109 03 53.129-02 31 43.96         23.67gV     W84
     ta2d659 |C2015 01 22.31621409 03 52.248-02 31 42.23         23.48gV     W84
     ta2d659 |C2015 01 22.33616709 03 51.335-02 31 39.89         23.39gV     W84
     ta2d659 |C2015 01 22.35747509 03 50.358-02 31 37.60         23.55gV     W84
     ta2d659 |C2015 01 23.20843609 03 12.425-02 30 01.55         23.29gV     W84
     ta2d659 |C2015 01 23.24053209 03 10.929-02 29 57.82         23.70gV     W84
     ta2d659 |C2015 01 23.26396109 03 09.838-02 29 55.11         23.48gV     W84
     ta2d659 |C2015 01 23.29196309 03 08.533-02 29 51.68         23.47gV     W84
     ta2d659 |C2015 01 23.32341409 03 07.077-02 29 47.90         23.51gV     W84
     ta2d659 |C2015 01 23.35142409 03 05.761-02 29 44.72         23.43gV     W84
     ta2d659 |C2015 01 24.20626509 02 27.245-02 27 57.68         22.64gV     W84
     ta2d659 |C2015 01 24.21116509 02 26.996-02 27 56.90         23.10gV     W84
     ta2d659 |C2015 01 24.21451309 02 26.850-02 27 56.57         22.97gV     W84
     ta2d659 |C2015 01 24.22348009 02 26.424-02 27 55.22         23.51gV     W84
     ta2d659 |C2015 01 24.31292209 02 22.201-02 27 43.70         23.33gV     W84
     ta2d659 |C2015 01 24.35414909 02 20.262-02 27 37.95         23.27gV     W84
     ta2d659 |C2015 01 25.20889709 01 41.342-02 25 40.46         23.80gV     W84
     ta2d659 |C2015 01 25.23762509 01 39.975-02 25 36.31         23.52gV     W84
     ta2d659 |C2015 01 25.26234509 01 38.798-02 25 32.62         23.52gV     W84
     ta2d659 |C2015 01 25.28705709 01 37.624-02 25 29.12         23.42gV     W84
     ta2d659 |C2015 01 25.31735809 01 36.179-02 25 24.76         23.10gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84


     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
