     ta31da8 |C2014 03 08.01505510 11 39.587-02 51 36.11         23.34rV     W84
     ta31da8 |C2014 03 08.04483010 11 38.689-02 51 30.82         23.66rV     W84
     ta31da8 |C2014 03 08.11304710 11 36.669-02 51 19.64         23.38rV     W84
     ta31da8 |C2014 03 08.15752410 11 35.332-02 51 12.05         24.51gV     W84
     ta31da8 |C2014 03 08.19428610 11 34.251-02 51 05.88         24.17gV     W84
     ta31da8 |C2014 03 08.23275410 11 33.083-02 50 59.50         23.38gV     W84
     ta31da8 |C2014 03 09.12987910 11 07.205-02 48 26.17         23.43rV     W84
     ta31da8 |C2014 03 09.19039810 11 05.421-02 48 15.94         23.27iV     W84
     ta31da8 |C2014 03 09.19507010 11 05.293-02 48 15.06         23.08rV     W84
     ta31da8 |C2014 03 09.24476910 11 03.789-02 48 06.37         22.85rV     W84
     ta31da8 |C2014 03 09.30080910 11 02.161-02 47 56.93         23.59gV     W84
     ta31da8 |C2014 03 09.30579910 11 02.025-02 47 56.12         23.47rV     W84
     ta31da8 |C2014 03 10.05346710 10 40.798-02 45 47.22         23.15rV     W84
     ta31da8 |C2014 03 10.08328910 10 39.933-02 45 42.16         23.49rV     W84
     ta31da8 |C2014 03 10.18415110 10 36.990-02 45 24.55         23.71rV     W84
     ta31da8 |C2014 03 10.20404010 10 36.411-02 45 21.14         23.03rV     W84
     ta31da8 |C2014 03 10.26780710 10 34.540-02 45 09.91         22.99rV     W84
     ta31da8 |C2014 03 10.29649810 10 33.712-02 45 05.25         23.29gV     W84


     ta31da8 |C2014 03 10.29649810 10 33.712-02 45 05.25         23.29gV     W84
