     ta322ea |C2015 01 20.20685709 06 14.803-02 45 07.41         22.81gV     W84
     ta322ea |C2015 01 20.23531409 06 13.327-02 45 09.75         22.56gV     W84
     ta322ea |C2015 01 20.26191209 06 11.940-02 45 11.81         23.13gV     W84
     ta322ea |C2015 01 20.28663509 06 10.658-02 45 13.76         22.96gV     W84
     ta322ea |C2015 01 20.34785209 06 07.477-02 45 18.42         22.87gV     W84
     ta322ea |C2015 01 20.36767209 06 06.452-02 45 19.81         22.95gV     W84
     ta322ea |C2015 01 21.23128509 05 23.466-02 46 19.74         22.77gV     W84
     ta322ea |C2015 01 21.25522009 05 22.191-02 46 21.32         23.09gV     W84
     ta322ea |C2015 01 21.28221209 05 20.757-02 46 22.98         23.72gV     W84
     ta322ea |C2015 01 21.30172909 05 19.724-02 46 23.97         23.39gV     W84
     ta322ea |C2015 01 21.32230609 05 18.643-02 46 25.18         22.89gV     W84
     ta322ea |C2015 01 21.35972509 05 16.671-02 46 27.40         22.64gV     W84
     ta322ea |C2015 01 22.21026909 04 33.623-02 47 12.16         23.28gV     W84
     ta322ea |C2015 01 22.25741309 04 31.079-02 47 14.31         22.35gV     W84
     ta322ea |C2015 01 22.28938109 04 29.365-02 47 15.80         23.11gV     W84
     ta322ea |C2015 01 22.31495509 04 28.004-02 47 16.87         23.12gV     W84
     ta322ea |C2015 01 22.33369809 04 26.973-02 47 17.65         23.14gV     W84
     ta322ea |C2015 01 22.36799309 04 25.148-02 47 19.14         21.62gV     W84
     ta322ea |C2015 01 23.20843609 03 41.969-02 47 49.27         23.30gV     W84
     ta322ea |C2015 01 23.23492509 03 40.502-02 47 49.96         22.65gV     W84
     ta322ea |C2015 01 23.32115409 03 35.811-02 47 52.55         22.82gV     W84
     ta322ea |C2015 01 23.33687109 03 34.959-02 47 53.00         23.01gV     W84
     ta322ea |C2015 01 23.35142409 03 34.164-02 47 53.17         23.00gV     W84
     ta322ea |C2015 01 23.36734209 03 33.315-02 47 53.68         23.25gV     W84
     ta322ea |C2015 01 24.20626509 02 49.574-02 48 09.68         22.81gV     W84
     ta322ea |C2015 01 24.23819609 02 47.813-02 48 10.05         23.46gV     W84
     ta322ea |C2015 01 24.26779509 02 46.174-02 48 10.62         23.26gV     W84
     ta322ea |C2015 01 24.31157709 02 43.767-02 48 10.88         22.61gV     W84
     ta322ea |C2015 01 24.33548009 02 42.440-02 48 11.24         22.64gV     W84
     ta322ea |C2015 01 24.35864509 02 41.170-02 48 11.30         23.26gV     W84
     ta322ea |C2015 01 25.22975909 01 55.106-02 48 13.51         22.54gV     W84
     ta322ea |C2015 01 25.26459009 01 53.157-02 48 13.18         22.65gV     W84
     ta322ea |C2015 01 25.27356209 01 52.654-02 48 13.21         23.47gV     W84
     ta322ea |C2015 01 25.27693109 01 52.470-02 48 13.10         23.30gV     W84
     ta322ea |C2015 01 25.28593309 01 51.985-02 48 13.18         22.92gV     W84
     ta322ea |C2015 01 25.29493609 01 51.462-02 48 13.05         23.01gV     W84


     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t1ed05c |C2015 01 25.31511909 01 55.643-02 35 09.60         23.34gV     W84
     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     ta322ea |C2015 01 25.29493609 01 51.462-02 48 13.05         23.01gV     W84
     tfc16e9 |C2015 01 25.30502109 01 36.595-02 57 33.03         23.27gV     W84
     tfc16e9 |C2015 01 25.32632809 01 35.396-02 57 32.98         23.31gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
