     ta58b29 |C2013 01 05.26507608 03 17.147+04 05 43.57         22.69rV     W84
     ta58b29 |C2013 01 05.28602608 03 16.526+04 05 46.01         23.00rV     W84
     ta58b29 |C2013 01 06.27391308 02 47.504+04 07 49.93         23.02rV     W84
     ta58b29 |C2013 01 06.28444908 02 47.193+04 07 51.15         23.21rV     W84
     ta58b29 |C2013 01 06.28551108 02 47.155+04 07 51.23         22.85rV     W84
     ta58b29 |C2013 01 07.24845208 02 18.622+04 09 56.61         23.24rV     W84
     ta58b29 |C2013 01 07.25879408 02 18.302+04 09 57.88         23.09rV     W84
     ta58b29 |C2013 01 07.27966208 02 17.666+04 10 00.69         23.06rV     W84


     ta58b29 |C2013 01 07.27966208 02 17.666+04 10 00.69         23.06rV     W84
