     ta713ef |C2015 01 18.20955209 02 57.565-02 06 37.43         23.14gV     W84
     ta713ef |C2015 01 18.24434209 02 55.831-02 06 36.11         22.73gV     W84
     ta713ef |C2015 01 18.27921609 02 54.061-02 06 34.93         23.47gV     W84
     ta713ef |C2015 01 18.30512809 02 52.750-02 06 33.96         23.50gV     W84
     ta713ef |C2015 01 18.33653309 02 51.163-02 06 32.67         23.43gV     W84
     ta713ef |C2015 01 18.36124209 02 49.940-02 06 31.69         23.06gV     W84
     ta713ef |C2015 01 19.21103209 02 08.704-02 05 53.77         23.26gV     W84
     ta713ef |C2015 01 19.23206709 02 07.624-02 05 52.56         23.73gV     W84
     ta713ef |C2015 01 19.24664909 02 06.869-02 05 51.83         23.48gV     W84
     ta713ef |C2015 01 19.31271109 02 03.483-02 05 48.39         23.43gV     W84
     ta713ef |C2015 01 19.32956709 02 02.627-02 05 47.64         23.25gV     W84
     ta713ef |C2015 01 19.36205909 02 00.962-02 05 45.84         23.32gV     W84
     ta713ef |C2015 01 20.21322309 01 18.924-02 04 55.06         23.43gV     W84
     ta713ef |C2015 01 20.23039409 01 18.016-02 04 53.78         23.33gV     W84
     ta713ef |C2015 01 20.25820709 01 16.568-02 04 52.13         23.21gV     W84
     ta713ef |C2015 01 20.29529809 01 14.625-02 04 49.51         22.82gV     W84
     ta713ef |C2015 01 20.31389209 01 13.664-02 04 48.34         22.98gV     W84
     ta713ef |C2015 01 20.35653009 01 11.445-02 04 45.43         23.35gV     W84
     ta713ef |C2015 01 22.21026908 59 37.340-02 02 13.24         23.65gV     W84
     ta713ef |C2015 01 22.24086208 59 35.701-02 02 10.00         23.66gV     W84
     ta713ef |C2015 01 22.26416008 59 34.435-02 02 07.73         23.68gV     W84
     ta713ef |C2015 01 22.32122508 59 31.377-02 02 02.34         23.14gV     W84
     ta713ef |C2015 01 22.33865408 59 30.440-02 02 00.47         22.80gV     W84
     ta713ef |C2015 01 22.36934408 59 28.823-02 01 57.60         22.74gV     W84


     P10inuX* C2015 01 23.39806 08 55 15.558-01 43 37.50         21.5 wL     F51
     P10inuX  C2015 01 23.41143 08 55 14.823-01 43 36.15         21.4 wL     F51
     P10inuX  C2015 01 23.42476 08 55 14.107-01 43 35.00         21.4 wL     F51
     t5a8fba |C2015 01 23.20843608 59 30.764-02 14 42.78         23.79gV     W84
     t5a8fba |C2015 01 23.24277608 59 29.258-02 14 28.06         23.51gV     W84
     t5a8fba |C2015 01 23.25949608 59 28.517-02 14 21.15         23.61gV     W84
     t5a8fba |C2015 01 23.27176408 59 27.975-02 14 15.64         23.29gV     W84
     t5a8fba |C2015 01 23.29421108 59 26.990-02 14 05.98         23.07gV     W84
     t5a8fba |C2015 01 23.34806708 59 24.619-02 13 43.27         23.25gV     W84
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     ta713ef |C2015 01 22.36934408 59 28.823-02 01 57.60         22.74gV     W84
