     ta79c79 |C2015 01 22.22465509 07 14.902-02 24 54.31         23.13gV     W84
     ta79c79 |C2015 01 22.24727009 07 13.689-02 24 55.86         23.06gV     W84
     ta79c79 |C2015 01 22.26416009 07 12.751-02 24 57.13         23.39gV     W84
     ta79c79 |C2015 01 22.27899709 07 11.948-02 24 58.15         23.00gV     W84
     ta79c79 |C2015 01 22.33740909 07 08.789-02 25 02.29         23.44gV     W84
     ta79c79 |C2015 01 22.35871109 07 07.646-02 25 03.62         23.47gV     W84
     ta79c79 |C2015 01 23.20843609 06 23.108-02 25 58.62         23.37gV     W84
     ta79c79 |C2015 01 23.23380909 06 21.712-02 26 00.04         23.53gV     W84
     ta79c79 |C2015 01 23.26396109 06 20.061-02 26 01.85         23.21gV     W84
     ta79c79 |C2015 01 23.28746209 06 18.762-02 26 03.24         23.26gV     W84
     ta79c79 |C2015 01 23.32228109 06 16.842-02 26 05.28         23.28gV     W84
     ta79c79 |C2015 01 23.35701909 06 14.929-02 26 06.98         23.31gV     W84
     ta79c79 |C2015 01 24.20426709 05 29.864-02 26 50.28         23.28gV     W84
     ta79c79 |C2015 01 24.22922209 05 28.471-02 26 51.15         23.39gV     W84
     ta79c79 |C2015 01 24.25420609 05 27.083-02 26 52.26         23.27gV     W84
     ta79c79 |C2015 01 24.28912709 05 25.137-02 26 53.85         23.30gV     W84
     ta79c79 |C2015 01 24.33954709 05 22.315-02 26 56.13         23.07gV     W84
     ta79c79 |C2015 01 24.35976509 05 21.200-02 26 57.24         23.20gV     W84
     ta79c79 |C2015 01 25.21224909 04 35.197-02 27 28.18         23.01gV     W84
     ta79c79 |C2015 01 25.23985709 04 33.640-02 27 28.97         23.36gV     W84
     ta79c79 |C2015 01 25.27245009 04 31.795-02 27 29.96         23.11gV     W84
     ta79c79 |C2015 01 25.30725609 04 29.817-02 27 30.99         23.21gV     W84
     ta79c79 |C2015 01 25.33195109 04 28.436-02 27 31.58         23.30gV     W84
     ta79c79 |C2015 01 25.36334009 04 26.662-02 27 32.53         23.59gV     W84


     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     ta79c79 |C2015 01 25.36334009 04 26.662-02 27 32.53         23.59gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
