     ta7f144 |C2013 01 05.28909508 15 28.529+08 00 49.23         22.60rV     W84
     ta7f144 |C2013 01 05.28995308 15 28.495+08 00 49.18         22.16rV     W84
     ta7f144 |C2013 01 05.30037808 15 27.990+08 00 49.07         22.72rV     W84
     ta7f144 |C2013 01 05.31079108 15 27.494+08 00 49.01         22.99rV     W84
     ta7f144 |C2013 01 06.32073508 14 41.031+08 00 43.59         23.05rV     W84
     ta7f144 |C2013 01 06.33125808 14 40.540+08 00 43.63         23.17rV     W84
     ta7f144 |C2013 01 07.28462908 13 56.071+08 00 44.93         22.68rV     W84
     ta7f144 |C2013 01 07.29408608 13 55.607+08 00 44.91         22.35rV     W84
     ta7f144 |C2013 01 07.29493408 13 55.567+08 00 44.68         21.84rV     W84
     ta7f144 |C2013 01 07.30533708 13 55.071+08 00 44.85         22.16rV     W84
     ta7f144 |C2013 01 07.31502308 13 54.589+08 00 44.59         21.90rV     W84
     ta7f144 |C2013 01 07.31590008 13 54.548+08 00 44.13         21.98rV     W84


     ta7f144 |C2013 01 07.31590008 13 54.548+08 00 44.13         21.98rV     W84
