     taa4eb5 |C2015 01 18.20955209 05 07.262-02 04 01.59         23.30gV     W84
     taa4eb5 |C2015 01 18.24995209 05 05.015-02 04 10.70         22.96gV     W84
     taa4eb5 |C2015 01 18.28146409 05 03.279-02 04 17.88         22.82gV     W84
     taa4eb5 |C2015 01 18.30964609 05 01.704-02 04 24.24         23.16gV     W84
     taa4eb5 |C2015 01 18.34553709 04 59.724-02 04 32.52         22.80gV     W84
     taa4eb5 |C2015 01 18.36350109 04 58.725-02 04 36.33         22.60gV     W84
     taa4eb5 |C2015 01 19.22753709 04 12.364-02 07 45.54         22.77gV     W84
     taa4eb5 |C2015 01 19.29481609 04 08.562-02 07 59.80         22.95gV     W84
     taa4eb5 |C2015 01 19.32509709 04 06.856-02 08 06.17         22.67gV     W84
     taa4eb5 |C2015 01 19.33964709 04 06.036-02 08 09.22         23.00gV     W84
     taa4eb5 |C2015 01 19.35423809 04 05.218-02 08 12.37         23.29gV     W84
     taa4eb5 |C2015 01 19.36764909 04 04.471-02 08 15.23         22.67gV     W84
     taa4eb5 |C2015 01 20.21087909 03 18.445-02 11 08.06         23.00gV     W84
     taa4eb5 |C2015 01 20.24025909 03 16.759-02 11 13.93         22.85gV     W84
     taa4eb5 |C2015 01 20.26810309 03 15.165-02 11 19.49         23.28gV     W84
     taa4eb5 |C2015 01 20.29902509 03 13.390-02 11 25.61         23.07gV     W84
     taa4eb5 |C2015 01 20.34661609 03 10.656-02 11 34.95         22.70gV     W84
     taa4eb5 |C2015 01 20.36767209 03 09.458-02 11 39.21         22.41gV     W84
     taa4eb5 |C2015 01 21.21900609 02 22.197-02 14 21.91         22.72gV     W84
     taa4eb5 |C2015 01 21.24290309 02 20.796-02 14 26.32         23.08gV     W84
     taa4eb5 |C2015 01 21.27773209 02 18.764-02 14 32.71         23.15gV     W84
     taa4eb5 |C2015 01 21.30793109 02 17.011-02 14 38.26         22.95gV     W84
     taa4eb5 |C2015 01 21.34022109 02 15.124-02 14 44.25         23.11gV     W84
     taa4eb5 |C2015 01 21.36963709 02 13.430-02 14 49.55         22.89gV     W84
     taa4eb5 |C2015 01 22.22331009 01 25.322-02 17 20.46         22.31gV     W84
     taa4eb5 |C2015 01 22.28665109 01 21.568-02 17 31.54         22.17gV     W84
     taa4eb5 |C2015 01 22.30487109 01 20.487-02 17 34.57         22.88gV     W84
     taa4eb5 |C2015 01 22.32241109 01 19.439-02 17 37.59         22.95gV     W84
     taa4eb5 |C2015 01 22.34261709 01 18.255-02 17 40.94         22.82gV     W84
     taa4eb5 |C2015 01 22.36393309 01 16.995-02 17 44.61         22.54gV     W84
     taa4eb5 |C2015 01 23.21367209 00 28.466-02 20 03.21         23.05gV     W84
     taa4eb5 |C2015 01 23.31107609 00 22.642-02 20 18.44         23.21gV     W84
     taa4eb5 |C2015 01 23.32453809 00 21.831-02 20 20.46         23.00gV     W84
     taa4eb5 |C2015 01 23.33798609 00 21.039-02 20 22.71         22.74gV     W84
     taa4eb5 |C2015 01 23.35366309 00 20.100-02 20 25.04         23.27gV     W84
     taa4eb5 |C2015 01 23.36734209 00 19.277-02 20 27.03         23.16gV     W84


     P10intU* C2015 01 23.39806 08 55 13.479-02 17 39.04         22.2 wL     F51
     P10intU  C2015 01 23.41143 08 55 12.741-02 17 38.63         22.0 wL     F51
     P10intU  C2015 01 23.42476 08 55 12.005-02 17 37.96         22.1 wL     F51
     P10intU  C2015 01 23.43809 08 55 11.266-02 17 37.18         22.2 wL     F51
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     t8fe255 |C2015 01 25.35102709 00 39.267-02 25 18.72         22.67gV     W84
     t8fe255 |C2015 01 25.35774209 00 38.872-02 25 19.44         22.52gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     taa4eb5 |C2015 01 23.36734209 00 19.277-02 20 27.03         23.16gV     W84
     tc522a5 |C2015 01 23.37106809 00 25.303-02 19 48.47         22.70gV     W84
     tc522a5 |C2015 01 24.20426708 59 33.937-02 23 27.39         23.07gV     W84
     tc522a5 |C2015 01 24.25420608 59 30.736-02 23 40.26         22.56gV     W84
     tc522a5 |C2015 01 24.27619008 59 29.324-02 23 46.00         22.33gV     W84
     tc522a5 |C2015 01 24.32374908 59 26.287-02 23 57.99         22.67gV     W84
     tc522a5 |C2015 01 24.34226408 59 25.095-02 24 02.77         22.78gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
