     tab2db7 |C2013 01 05.24918307 52 01.060+05 18 46.30         23.29rV     W84
     tab2db7 |C2013 01 05.25974107 52 00.547+05 18 45.62         22.35rV     W84
     tab2db7 |C2013 01 05.27009707 52 00.012+05 18 45.03         22.54rV     W84
     tab2db7 |C2013 01 05.28061807 51 59.485+05 18 44.33         22.77rV     W84
     tab2db7 |C2013 01 06.26959807 51 11.245+05 17 49.64         21.37rV     W84
     tab2db7 |C2013 01 06.27999407 51 10.764+05 17 48.24         22.85rV     W84
     tab2db7 |C2013 01 06.29051907 51 10.233+05 17 47.52         22.89rV     W84
     tab2db7 |C2013 01 06.30104407 51 09.689+05 17 47.04         22.85rV     W84
     tab2db7 |C2013 01 07.26489807 50 22.229+05 17 01.62         22.45rV     W84
     tab2db7 |C2013 01 07.27540007 50 21.690+05 17 01.11         23.10rV     W84


     tab2db7 |C2013 01 07.27540007 50 21.690+05 17 01.11         23.10rV     W84
