     tabf329 |C2014 03 01.11073011 34 12.972-02 31 01.53         23.65gV     W84
     tabf329 |C2014 03 01.21605011 34 10.112-02 30 37.23         23.99gV     W84
     tabf329 |C2014 03 01.31083611 34 07.526-02 30 15.30         23.76gV     W84
     tabf329 |C2014 03 03.18529011 33 17.388-02 22 55.43         23.98gV     W84
     tabf329 |C2014 03 03.28553911 33 14.616-02 22 31.79         23.99gV     W84
     tabf329 |C2014 03 04.18830611 32 50.214-02 18 56.30         24.08gV     W84
     tabf329 |C2014 03 04.27884211 32 47.689-02 18 34.76         23.39gV     W84


     tabf329 |C2014 03 04.27884211 32 47.689-02 18 34.76         23.39gV     W84
     tc6f988 |C2014 03 05.09234311 32 35.704-02 12 57.82         23.36gV     W84
     tc6f988 |C2014 03 05.20230711 32 32.582-02 12 34.03         23.74gV     W84
     tc6f988 |C2014 03 05.29557111 32 29.918-02 12 13.84         23.35gV     W84
     tda2e7d |C2014 03 04.27884211 33 34.867-02 07 49.92         23.81gV     W84
     tda2e7d |C2014 03 04.38287411 33 30.544-02 07 11.49         23.93gV     W84
     tc6f988 |C2014 03 05.09234311 32 35.704-02 12 57.82         23.36gV     W84
     tc6f988 |C2014 03 05.20230711 32 32.582-02 12 34.03         23.74gV     W84
     tc6f988 |C2014 03 05.29557111 32 29.918-02 12 13.84         23.35gV     W84
     tc6f988 |C2014 03 05.09234311 32 35.704-02 12 57.82         23.36gV     W84
     tc6f988 |C2014 03 05.20230711 32 32.582-02 12 34.03         23.74gV     W84
     tc6f988 |C2014 03 05.29557111 32 29.918-02 12 13.84         23.35gV     W84
