     tac4b4a |C2014 03 01.17790810 59 03.364-01 32 04.24         23.79gV     W84
     tac4b4a |C2014 03 01.27313110 59 00.496-01 31 48.71         23.48gV     W84
     tac4b4a |C2014 03 01.36509610 58 57.717-01 31 33.88         23.75gV     W84
     tac4b4a |C2014 03 04.15311510 57 35.410-01 23 49.05         23.80gV     W84
     tac4b4a |C2014 03 04.24384310 57 32.663-01 23 33.43         24.09gV     W84
     tac4b4a |C2014 03 05.05731710 57 08.687-01 21 14.75         22.19gV     W84
     tac4b4a |C2014 03 05.16191210 57 05.534-01 20 56.66         23.40gV     W84
     tac4b4a |C2014 03 05.25539610 57 02.696-01 20 40.15         22.12gV     W84
     tac4b4a |C2014 03 05.35218510 56 59.785-01 20 24.13         23.85gV     W84


     tac4b4a |C2014 03 05.35218510 56 59.785-01 20 24.13         23.85gV     W84
