     tae2bdb |C2013 01 04.31008708 24 18.993+07 01 36.70         22.01rV     W84
     tae2bdb |C2013 01 04.32058408 24 18.493+07 01 37.40         22.04rV     W84
     tae2bdb |C2013 01 04.33095708 24 18.045+07 01 37.97         22.55rV     W84
     tae2bdb |C2013 01 05.29749708 23 36.860+07 02 31.37         21.94rV     W84
     tae2bdb |C2013 01 05.31840108 23 35.957+07 02 32.51         22.48rV     W84
     tae2bdb |C2013 01 06.32831108 22 52.016+07 03 36.82         22.17rV     W84
     tae2bdb |C2013 01 06.33889608 22 51.545+07 03 37.44         22.63rV     W84


     tae2bdb |C2013 01 06.33889608 22 51.545+07 03 37.44         22.63rV     W84
     tc12666 |C2013 01 07.29209108 22 51.489+07 18 26.91         22.44rV     W84
     tc12666 |C2013 01 07.30243308 22 51.057+07 18 27.34         22.73rV     W84
     tc12666 |C2013 01 07.31195108 22 50.652+07 18 27.82         22.42rV     W84
     tc12666 |C2013 01 07.32129808 22 50.263+07 18 28.29         22.79rV     W84
     tc12666 |C2013 01 07.32237108 22 50.217+07 18 28.33         22.66rV     W84
     tc12666 |C2013 01 07.32342708 22 50.170+07 18 28.50         23.01rV     W84
     tda8944 |C2013 01 06.34713008 20 25.261+07 08 37.94         22.68rV     W84
     tda8944 |C2013 01 06.34713008 20 25.261+07 08 37.94         22.68rV     W84
