     taf8c31 |C2015 06 12.24114015 49 57.607+04 41 47.98         22.68rV     W84
     taf8c31 |C2015 06 12.24799515 49 57.328+04 41 45.82         23.15rV     W84
     taf8c31 |C2015 06 13.17661215 49 20.290+04 36 28.12         23.21gV     W84
     taf8c31 |C2015 06 13.18002215 49 20.145+04 36 26.85         23.56gV     W84
     taf8c31 |C2015 06 13.18343015 49 20.004+04 36 25.87         23.28gV     W84
     taf8c31 |C2015 06 13.18684815 49 19.854+04 36 24.44         22.85rV     W84
     taf8c31 |C2015 06 13.19368215 49 19.565+04 36 21.98         22.97rV     W84
     taf8c31 |C2015 06 16.11676315 47 28.263+04 18 27.45         23.38gV     W84
     taf8c31 |C2015 06 16.20739915 47 24.808+04 17 52.29         23.04gV     W84
     taf8c31 |C2015 06 16.21080415 47 24.712+04 17 49.92         21.92gV     W84


     taf8c31 |C2015 06 16.21080415 47 24.712+04 17 49.92         21.92gV     W84
