     tafbcca |C2016 09 02.97817021 03 36.910-28 12 50.07         23.16VV     W84
     tafbcca |C2016 09 02.98021921 03 36.858-28 12 50.31         22.98VV     W84
     tafbcca |C2016 09 02.98216421 03 36.787-28 12 50.60         22.99VV     W84
     tafbcca |C2016 09 02.98420921 03 36.721-28 12 50.87         23.15VV     W84
     tafbcca |C2016 09 02.98522821 03 36.675-28 12 51.01         22.85VV     W84
     tafbcca |C2016 09 03.00394021 03 36.036-28 12 54.01         22.86VV     W84
     tafbcca |C2016 09 04.98749621 02 33.195-28 17 11.81         23.06VV     W84
     tafbcca |C2016 09 04.98942621 02 33.129-28 17 11.98         23.19VV     W84


     tafbcca |C2016 09 04.98942621 02 33.129-28 17 11.98         23.19VV     W84
     tc6898b |C2016 09 04.98942621 00 59.495-28 07 19.48         23.45VV     W84
     tc6898b |C2016 09 04.99395721 00 59.238-28 07 17.62         23.19VV     W84
