     tb06cb1 |C2015 04 25.04805013 48 11.052-15 37 15.18         22.41VV     W84
     tb06cb1 |C2015 04 25.08254513 48 08.915-15 37 09.91         23.46VV     W84
     tb06cb1 |C2015 04 26.11252813 47 08.492-15 34 27.31         23.29VV     W84
     tb06cb1 |C2015 04 26.14692413 47 06.419-15 34 22.10         23.28VV     W84
     tb06cb1 |C2015 04 27.11716513 46 10.006-15 31 47.41         22.93rV     W84
     tb06cb1 |C2015 04 27.11923213 46 09.912-15 31 47.00         23.11rV     W84


     t460b73 |C2015 04 27.11923213 44 50.516-15 14 39.18         23.10rV     W84
     t474f84 |C2015 04 27.11923213 46 33.049-15 20 30.02         22.87rV     W84
     t8f1e39 |C2015 04 27.11923213 41 28.265-15 16 08.84         22.63rV     W84
     tb06cb1 |C2015 04 27.11923213 46 09.912-15 31 47.00         23.11rV     W84
     tb97c12 |C2015 04 27.11923213 43 14.475-15 13 46.03         22.75rV     W84
