     tb0af95 |C2014 03 01.19455011 07 22.095-00 12 56.30         23.41gV     W84
     tb0af95 |C2014 03 01.28965411 07 19.342-00 12 33.82         23.23gV     W84
     tb0af95 |C2014 03 01.38058611 07 16.719-00 12 12.35         23.27gV     W84
     tb0af95 |C2014 03 02.17627311 06 54.436-00 09 03.85         23.44gV     W84
     tb0af95 |C2014 03 02.26680811 06 51.808-00 08 42.46         23.37gV     W84
     tb0af95 |C2014 03 02.36261211 06 49.037-00 08 19.60         23.10gV     W84
     tb0af95 |C2014 03 03.16551711 06 26.461-00 05 07.93         23.48gV     W84
     tb0af95 |C2014 03 03.26583411 06 23.548-00 04 43.66         23.12gV     W84
     tb0af95 |C2014 03 03.36898211 06 20.570-00 04 19.43         23.38gV     W84


     tb0af95 |C2014 03 03.36898211 06 20.570-00 04 19.43         23.38gV     W84
     te885a2 |C2014 03 04.16190211 03 08.366+00 23 35.88         23.20gV     W84
     te885a2 |C2014 03 04.25258311 03 04.695+00 24 10.88         23.43gV     W84
