     tb1f252 |C2014 03 03.09847310 11 43.274-01 47 55.01         23.72gV     W84
     tb1f252 |C2014 03 03.10174610 11 43.082-01 47 54.48         23.31gV     W84
     tb1f252 |C2014 03 03.19022310 11 38.651-01 47 44.27         23.21gV     W84
     tb1f252 |C2014 03 03.19240510 11 38.543-01 47 44.08         23.66gV     W84
     tb1f252 |C2014 03 03.29042910 11 33.620-01 47 32.44         23.53gV     W84
     tb1f252 |C2014 03 04.28528410 10 45.054-01 45 33.64         23.14gV     W84
     tb1f252 |C2014 03 04.28745310 10 44.937-01 45 33.36         23.75gV     W84
     tb1f252 |C2014 03 05.10884110 10 05.348-01 43 53.02         23.29gV     W84
     tb1f252 |C2014 03 05.11103710 10 05.248-01 43 52.71         23.66gV     W84


     t1f0a11 |C2014 03 08.16363710 10 42.537-01 56 00.58         23.63rV     W84
     t1f0a11 |C2014 03 08.23887010 10 38.280-01 55 54.28         23.50rV     W84
     t1f0a11 |C2014 03 08.25110710 10 37.632-01 55 53.14         23.64rV     W84
     t1f0a11 |C2014 03 08.29516210 10 35.153-01 55 49.32         24.27gV     W84
     tb1f252 |C2014 03 05.11103710 10 05.248-01 43 52.71         23.66gV     W84
     te9a0e0 |C2014 03 08.10075210 10 20.561-01 41 48.15         22.87rV     W84
     te9a0e0 |C2014 03 08.18201110 10 13.645-01 42 14.78         23.40gV     W84
     te9a0e0 |C2014 03 08.20045510 10 12.084-01 42 21.02         22.71rV     W84
     te9a0e0 |C2014 03 08.25721610 10 07.275-01 42 39.89         23.24gV     W84
     te9a0e0 |C2014 03 08.26334610 10 06.758-01 42 42.02         22.63rV     W84
     te9a0e0 |C2014 03 08.30016410 10 03.637-01 42 54.14         22.34rV     W84
     te9a0e0 |C2014 03 09.13402010 08 56.558-01 47 25.04         22.48rV     W84
     te9a0e0 |C2014 03 09.19039810 08 51.871-01 47 43.22         22.21iV     W84
     te9a0e0 |C2014 03 09.19507010 08 51.488-01 47 44.55         22.20rV     W84
     te9a0e0 |C2014 03 09.24476910 08 47.414-01 48 00.42         22.56rV     W84
     te9a0e0 |C2014 03 09.25678710 08 46.377-01 48 04.37         21.91iV     W84
     te9a0e0 |C2014 03 09.30579910 08 42.348-01 48 20.12         22.65rV     W84
     te9a0e0 |C2014 03 10.07331610 07 42.047-01 52 23.45         22.74rV     W84
     te9a0e0 |C2014 03 08.10075210 10 20.561-01 41 48.15         22.87rV     W84
     te9a0e0 |C2014 03 08.18201110 10 13.645-01 42 14.78         23.40gV     W84
     te9a0e0 |C2014 03 08.20045510 10 12.084-01 42 21.02         22.71rV     W84
     te9a0e0 |C2014 03 08.25721610 10 07.275-01 42 39.89         23.24gV     W84
     te9a0e0 |C2014 03 08.26334610 10 06.758-01 42 42.02         22.63rV     W84
     te9a0e0 |C2014 03 08.30016410 10 03.637-01 42 54.14         22.34rV     W84
     te9a0e0 |C2014 03 08.10075210 10 20.561-01 41 48.15         22.87rV     W84
     te9a0e0 |C2014 03 08.18201110 10 13.645-01 42 14.78         23.40gV     W84
     te9a0e0 |C2014 03 08.20045510 10 12.084-01 42 21.02         22.71rV     W84
     te9a0e0 |C2014 03 08.25721610 10 07.275-01 42 39.89         23.24gV     W84
     te9a0e0 |C2014 03 08.26334610 10 06.758-01 42 42.02         22.63rV     W84
     te9a0e0 |C2014 03 08.30016410 10 03.637-01 42 54.14         22.34rV     W84
