     tb352e6 |C2015 01 22.22331009 05 14.192-03 08 52.20         23.85gV     W84
     tb352e6 |C2015 01 22.27029509 05 11.541-03 08 57.15         23.75gV     W84
     tb352e6 |C2015 01 22.29989609 05 09.862-03 09 00.23         23.56gV     W84
     tb352e6 |C2015 01 22.31872209 05 08.829-03 09 02.22         23.70gV     W84
     tb352e6 |C2015 01 22.34508209 05 07.323-03 09 04.97         23.38gV     W84
     tb352e6 |C2015 01 22.36258909 05 06.336-03 09 06.76         23.41gV     W84
     tb352e6 |C2015 01 23.20843609 04 20.348-03 10 28.90         23.40gV     W84
     tb352e6 |C2015 01 23.22709409 04 19.277-03 10 30.69         23.08gV     W84
     tb352e6 |C2015 01 23.29421109 04 15.441-03 10 36.58         22.56gV     W84
     tb352e6 |C2015 01 23.31667509 04 14.144-03 10 38.55         23.09gV     W84
     tb352e6 |C2015 01 23.34136209 04 12.737-03 10 40.73         23.36gV     W84
     tb352e6 |C2015 01 23.36035509 04 11.652-03 10 42.69         22.80gV     W84
     tb352e6 |C2015 01 25.30725609 02 23.297-03 13 06.09         22.61gV     W84
     tb352e6 |C2015 01 25.31511909 02 22.827-03 13 06.68         23.12gV     W84
     tb352e6 |C2015 01 25.32408909 02 22.317-03 13 07.30         23.34gV     W84
     tb352e6 |C2015 01 25.33082809 02 21.933-03 13 07.58         23.14gV     W84
     tb352e6 |C2015 01 25.33981809 02 21.400-03 13 08.12         22.94gV     W84
     tb352e6 |C2015 01 25.34991609 02 20.820-03 13 08.83         22.66gV     W84


     tb352e6 |C2015 01 25.34991609 02 20.820-03 13 08.83         22.66gV     W84
