     tb40b9b |C2015 01 19.30601309 05 29.292-01 40 16.70         23.41gV     W84
     tb40b9b |C2015 01 19.30936109 05 29.129-01 40 16.48         23.71gV     W84
     tb40b9b |C2015 01 19.31720109 05 28.757-01 40 16.49         23.56gV     W84
     tb40b9b |C2015 01 19.32621809 05 28.333-01 40 15.95         23.48gV     W84
     tb40b9b |C2015 01 19.33852709 05 27.740-01 40 15.75         23.10gV     W84
     tb40b9b |C2015 01 20.25342309 04 45.999-01 39 52.01         23.36gV     W84
     tb40b9b |C2015 01 20.28292909 04 44.583-01 39 50.58         23.58gV     W84
     tb40b9b |C2015 01 20.30646209 04 43.437-01 39 49.93         23.66gV     W84
     tb40b9b |C2015 01 20.31761009 04 42.918-01 39 49.53         23.83gV     W84
     tb40b9b |C2015 01 20.33548509 04 42.044-01 39 49.04         23.31gV     W84
     tb40b9b |C2015 01 20.34412209 04 41.635-01 39 48.71         23.71gV     W84
     tb40b9b |C2015 01 21.21031409 04 01.457-01 39 13.45         23.70gV     W84
     tb40b9b |C2015 01 21.26136709 03 58.957-01 39 11.04         23.79gV     W84
     tb40b9b |C2015 01 21.28108709 03 57.962-01 39 10.05         23.21gV     W84
     tb40b9b |C2015 01 21.29802209 03 57.162-01 39 09.43         23.82gV     W84
     tb40b9b |C2015 01 21.31764009 03 56.184-01 39 08.28         23.73gV     W84
     tb40b9b |C2015 01 21.34381509 03 54.913-01 39 07.18         23.55gV     W84
     tb40b9b |C2015 01 22.23143209 03 12.929-01 38 17.85         24.10gV     W84
     tb40b9b |C2015 01 22.26657609 03 11.159-01 38 15.86         23.72gV     W84
     tb40b9b |C2015 01 22.29989609 03 09.499-01 38 13.36         23.80gV     W84
     tb40b9b |C2015 01 22.32577609 03 08.226-01 38 11.80         23.42gV     W84
     tb40b9b |C2015 01 22.34631109 03 07.186-01 38 10.49         23.72gV     W84
     tb40b9b |C2015 01 22.35994509 03 06.508-01 38 09.73         23.57gV     W84
     tb40b9b |C2015 01 23.20843609 02 25.799-01 37 10.39         23.53gV     W84
     tb40b9b |C2015 01 23.22262809 02 25.086-01 37 09.30         23.55gV     W84
     tb40b9b |C2015 01 23.23829309 02 24.305-01 37 08.12         23.64gV     W84
     tb40b9b |C2015 01 23.25171309 02 23.617-01 37 07.00         23.83gV     W84
     tb40b9b |C2015 01 23.26954209 02 22.698-01 37 05.76         23.59gV     W84
     tb40b9b |C2015 01 23.32453809 02 19.912-01 37 01.11         23.15gV     W84
     tb40b9b |C2015 01 24.22348009 01 36.051-01 35 45.49         23.38gV     W84
     tb40b9b |C2015 01 24.23707709 01 35.321-01 35 44.30         23.00gV     W84
     tb40b9b |C2015 01 24.23819609 01 35.280-01 35 44.13         23.23gV     W84
     tb40b9b |C2015 01 24.28158709 01 33.035-01 35 40.30         23.02gV     W84
     tb40b9b |C2015 01 24.34091609 01 30.005-01 35 34.65         23.53gV     W84
     tb40b9b |C2015 01 24.34479909 01 29.814-01 35 34.35         23.61gV     W84


     t001e04 |C2015 01 25.21516909 01 41.780-01 45 03.27         22.87gV     W84
     t001e04 |C2015 01 25.32072509 01 37.107-01 44 21.22         22.97gV     W84
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t33fcef |C2015 01 25.27245009 02 17.213-01 48 57.58         23.64gV     W84
     t33fcef |C2015 01 25.29718609 02 15.969-01 48 49.40         23.25gV     W84
     t33fcef |C2015 01 25.34991609 02 13.323-01 48 31.91         23.51gV     W84
     t3fdf63 |C2015 01 25.21964409 01 58.986-01 36 42.82         23.36gV     W84
     t3fdf63 |C2015 01 25.23873709 01 58.137-01 36 37.65         23.67gV     W84
     t3fdf63 |C2015 01 25.24994109 01 57.633-01 36 34.61         23.67gV     W84
     t3fdf63 |C2015 01 25.28705709 01 55.983-01 36 25.18         23.72gV     W84
     t3fdf63 |C2015 01 25.29718609 01 55.522-01 36 22.47         23.52gV     W84
     t3fdf63 |C2015 01 25.33757509 01 53.753-01 36 12.06         23.68gV     W84
     t5d298e |C2015 01 25.22638709 01 46.094-01 47 30.96         22.53gV     W84
     t5d298e |C2015 01 25.32970809 01 40.406-01 47 45.71         23.09gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     tb40b9b |C2015 01 24.34479909 01 29.814-01 35 34.35         23.61gV     W84
     te77523 |C2015 01 24.35190309 01 31.089-01 44 16.64         23.47gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
