     tb4821a |C2014 04 29.35511115 28 45.727-33 27 01.33         22.34VV     W84
     tb4821a |C2014 04 29.36157915 28 45.673-33 27 01.27         22.25VV     W84
     tb4821a |C2014 04 29.36476115 28 45.660-33 27 01.37         22.19VV     W84
     tb4821a |C2014 04 29.36792315 28 45.627-33 27 01.21         22.44VV     W84
     tb4821a |C2014 05 02.38950515 28 24.611-33 26 21.27         22.66VV     W84
     tb4821a |C2014 05 02.39266515 28 24.596-33 26 21.16         22.50VV     W84
     tb4821a |C2014 05 02.39582515 28 24.569-33 26 21.13         22.50VV     W84
     tb4821a |C2014 05 02.39900515 28 24.541-33 26 21.07         22.50VV     W84
     tb4821a |C2014 05 02.40222015 28 24.514-33 26 20.97         22.55VV     W84
     tb4821a |C2014 05 05.17168215 28 05.008-33 25 39.28         22.45VV     W84
     tb4821a |C2014 05 05.17490515 28 04.977-33 25 39.20         22.52VV     W84
     tb4821a |C2014 05 05.17807415 28 04.955-33 25 39.17         22.73VV     W84
     tb4821a |C2014 05 05.18126715 28 04.937-33 25 39.10         22.65VV     W84
     tb4821a |C2014 05 05.18451515 28 04.909-33 25 39.15         22.46VV     W84
     tb4821a |C2014 05 06.36818515 27 56.467-33 25 19.74         22.32VV     W84
     tb4821a |C2014 05 06.37136415 27 56.446-33 25 19.72         22.43VV     W84
     tb4821a |C2014 05 06.37453315 27 56.428-33 25 19.68         22.54VV     W84
     tb4821a |C2014 05 06.37775015 27 56.410-33 25 19.70         22.85VV     W84
     tb4821a |C2014 05 06.38092815 27 56.381-33 25 19.51         22.29VV     W84


     N221175 5C2014 05 06.38093 15 26 52.22 -33 11 57.1                      W84
     N221179 5C2014 05 06.38093 15 27 19.63 -33 54 03.1                      W84
     tb4821a |C2014 05 06.38092815 27 56.381-33 25 19.51         22.29VV     W84
