     tb5a12f |C2015 01 18.24658009 03 48.364-02 11 30.81         23.09gV     W84
     tb5a12f |C2015 01 18.26233109 03 47.617-02 11 26.64         23.09gV     W84
     tb5a12f |C2015 01 18.27698409 03 46.920-02 11 22.79         22.82gV     W84
     tb5a12f |C2015 01 18.35451309 03 43.248-02 11 02.31         22.94gV     W84
     tb5a12f |C2015 01 18.36236209 03 42.875-02 11 00.26         22.95gV     W84
     tb5a12f |C2015 01 18.36688709 03 42.675-02 10 59.06         22.78gV     W84
     tb5a12f |C2015 01 19.31047309 02 59.473-02 06 41.62         22.83gV     W84
     tb5a12f |C2015 01 19.32509709 02 58.769-02 06 37.63         22.55gV     W84
     tb5a12f |C2015 01 19.33179509 02 58.450-02 06 35.76         23.01gV     W84
     tb5a12f |C2015 01 19.36318509 02 56.935-02 06 26.89         22.43gV     W84
     tb5a12f |C2015 01 19.36653609 02 56.771-02 06 25.89         22.71gV     W84
     tb5a12f |C2015 01 19.37101509 02 56.560-02 06 24.69         22.65gV     W84
     tb5a12f |C2015 01 20.21322309 02 17.538-02 02 21.96         22.50gV     W84
     tb5a12f |C2015 01 20.23902009 02 16.285-02 02 14.34         22.30gV     W84
     tb5a12f |C2015 01 20.25820709 02 15.321-02 02 08.54         22.93gV     W84
     tb5a12f |C2015 01 20.27673309 02 14.412-02 02 03.07         22.46gV     W84
     tb5a12f |C2015 01 20.34164509 02 11.225-02 01 43.76         23.17gV     W84
     tb5a12f |C2015 01 20.36396109 02 10.148-02 01 37.12         22.72gV     W84
     tb5a12f |C2015 01 21.23128509 01 29.202-01 57 12.87         22.66gV     W84
     tb5a12f |C2015 01 21.29224609 01 26.162-01 56 53.85         22.81gV     W84
     tb5a12f |C2015 01 21.31147009 01 25.211-01 56 47.82         22.68gV     W84
     tb5a12f |C2015 01 21.32342509 01 24.607-01 56 44.05         23.05gV     W84
     tb5a12f |C2015 01 21.33682309 01 23.941-01 56 39.82         22.59gV     W84
     tb5a12f |C2015 01 21.35972509 01 22.796-01 56 32.75         22.39gV     W84
     tb5a12f |C2015 01 22.21026909 00 42.077-01 51 59.91         22.75gV     W84
     tb5a12f |C2015 01 22.23951509 00 40.592-01 51 50.46         22.67gV     W84
     tb5a12f |C2015 01 22.26303909 00 39.419-01 51 42.75         22.43gV     W84
     tb5a12f |C2015 01 22.28274309 00 38.404-01 51 36.34         22.94gV     W84
     tb5a12f |C2015 01 22.33865409 00 35.584-01 51 17.96         22.69gV     W84
     tb5a12f |C2015 01 22.37068409 00 33.975-01 51 07.53         22.70gV     W84


     t001e04 |C2015 01 25.32072509 01 37.107-01 44 21.22         22.97gV     W84
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t038d6c |C2015 01 24.27005909 01 28.901-01 58 50.75         22.21gV     W84
     t038d6c |C2015 01 24.29806309 01 27.591-01 58 37.67         22.33gV     W84
     t038d6c |C2015 01 24.30347709 01 27.344-01 58 35.07         22.53gV     W84
     t038d6c |C2015 01 24.36201509 01 24.620-01 58 07.62         22.41gV     W84
     t038d6c |C2015 01 24.36814409 01 24.342-01 58 04.73         22.04gV     W84
     t038d6c |C2015 01 24.37330409 01 24.108-01 58 02.34         22.16gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t5d298e |C2015 01 25.32970809 01 40.406-01 47 45.71         23.09gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     t602d1b |C2015 01 24.22348009 01 17.143-02 05 28.73         23.79gV     W84
     t602d1b |C2015 01 24.28538609 01 13.670-02 05 33.55         23.31gV     W84
     t602d1b |C2015 01 24.28787609 01 13.552-02 05 33.39         23.23gV     W84
     t602d1b |C2015 01 24.33418109 01 10.961-02 05 37.03         23.10gV     W84
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     tb5a12f |C2015 01 22.37068409 00 33.975-01 51 07.53         22.70gV     W84
     te77523 |C2015 01 24.20626509 01 38.567-01 43 54.32         23.59gV     W84
     te77523 |C2015 01 24.28158709 01 34.681-01 44 06.02         23.06gV     W84
     te77523 |C2015 01 24.30752309 01 33.349-01 44 10.24         23.48gV     W84
     te77523 |C2015 01 24.31698109 01 32.880-01 44 11.43         23.41gV     W84
     te77523 |C2015 01 24.33294509 01 32.063-01 44 13.69         23.55gV     W84
     te77523 |C2015 01 24.35190309 01 31.089-01 44 16.64         23.47gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     P10inld* C2015 01 23.39806 08 58 37.462-01 40 49.94         21.8 wL     F51
     P10inld  C2015 01 23.41143 08 58 36.679-01 40 33.72         21.9 wL     F51
     P10inld  C2015 01 23.42476 08 58 35.866-01 40 17.17         21.8 wL     F51
     P10inld  C2015 01 23.43809 08 58 35.080-01 40 01.17         21.9 wL     F51
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     P10inld* C2015 01 23.39806 08 58 37.462-01 40 49.94         21.8 wL     F51
     P10inld  C2015 01 23.41143 08 58 36.679-01 40 33.72         21.9 wL     F51
     P10inld  C2015 01 23.42476 08 58 35.866-01 40 17.17         21.8 wL     F51
     P10inld  C2015 01 23.43809 08 58 35.080-01 40 01.17         21.9 wL     F51
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
