     tb66905 |C2015 01 22.23682109 05 39.671-02 18 49.04         23.88gV     W84
     tb66905 |C2015 01 22.26527809 05 38.195-02 18 45.97         23.67gV     W84
     tb66905 |C2015 01 22.26782309 05 38.063-02 18 45.57         23.52gV     W84
     tb66905 |C2015 01 22.27402509 05 37.723-02 18 44.80         23.54gV     W84
     tb66905 |C2015 01 22.30738709 05 35.990-02 18 40.97         23.55gV     W84
     tb66905 |C2015 01 22.31621409 05 35.505-02 18 39.95         23.32gV     W84
     tb66905 |C2015 01 23.20843609 04 50.252-02 16 50.97         23.77gV     W84
     tb66905 |C2015 01 23.23940709 04 48.590-02 16 46.95         23.26gV     W84
     tb66905 |C2015 01 23.25949609 04 47.528-02 16 44.35         23.55gV     W84
     tb66905 |C2015 01 23.28300209 04 46.278-02 16 41.34         23.63gV     W84
     tb66905 |C2015 01 23.31107609 04 44.801-02 16 37.70         23.80gV     W84
     tb66905 |C2015 01 23.35366309 04 42.558-02 16 32.13         23.37gV     W84
     tb66905 |C2015 01 24.20426709 03 59.031-02 14 37.07         23.39gV     W84
     tb66905 |C2015 01 24.22697009 03 57.806-02 14 33.79         23.29gV     W84
     tb66905 |C2015 01 24.25049909 03 56.564-02 14 30.53         23.41gV     W84
     tb66905 |C2015 01 24.28158709 03 54.899-02 14 26.07         23.55gV     W84
     tb66905 |C2015 01 24.33683309 03 51.962-02 14 18.19         23.26gV     W84
     tb66905 |C2015 01 24.35639409 03 50.916-02 14 15.49         23.64gV     W84
     tb66905 |C2015 01 25.20889709 03 06.919-02 12 09.17         23.91gV     W84
     tb66905 |C2015 01 25.22975909 03 05.794-02 12 05.70         23.59gV     W84
     tb66905 |C2015 01 25.24209909 03 05.154-02 12 04.01         23.88gV     W84
     tb66905 |C2015 01 25.25783609 03 04.292-02 12 01.80         23.16gV     W84
     tb66905 |C2015 01 25.32632809 03 00.603-02 11 51.01         23.27gV     W84
     tb66905 |C2015 01 25.34991609 02 59.360-02 11 47.39         23.34gV     W84


     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     tb66905 |C2015 01 25.34991609 02 59.360-02 11 47.39         23.34gV     W84
     tf70cd2 |C2015 01 25.35325709 04 08.795-02 07 08.72         23.06gV     W84
     tf70cd2 |C2015 01 25.36557409 04 08.189-02 07 05.10         23.31gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
