     tba256b |C2015 06 13.97984714 44 13.766-09 20 13.44         22.92rV     W84
     tba256b |C2015 06 13.98668214 44 13.641-09 20 13.76         23.32rV     W84
     tba256b |C2015 06 13.99009114 44 13.570-09 20 13.92         23.18gV     W84
     tba256b |C2015 06 13.99349814 44 13.498-09 20 14.04         23.34gV     W84
     tba256b |C2015 06 13.99691514 44 13.437-09 20 14.23         23.67gV     W84
     tba256b |C2015 06 14.04261214 44 12.511-09 20 16.33         23.23rV     W84
     tba256b |C2015 06 14.99103314 43 54.165-09 21 02.14         22.85gV     W84
     tba256b |C2015 06 14.99249314 43 54.141-09 21 02.36         22.36rV     W84
     tba256b |C2015 06 15.99181914 43 35.417-09 21 53.97         23.42gV     W84
     tba256b |C2015 06 15.99344914 43 35.374-09 21 54.11         23.58rV     W84


     t3ef29b |C2015 06 15.99344914 42 34.596-09 37 45.94         22.90rV     W84
     tba256b |C2015 06 15.99344914 43 35.374-09 21 54.11         23.58rV     W84
