     tba7327 |C2013 01 04.26536108 00 30.850+06 23 28.72         22.26rV     W84
     tba7327 |C2013 01 04.27572008 00 30.399+06 23 30.76         22.68rV     W84
     tba7327 |C2013 01 05.25242007 59 48.034+06 27 18.96         22.19rV     W84
     tba7327 |C2013 01 05.26294107 59 47.550+06 27 21.41         22.64rV     W84
     tba7327 |C2013 01 06.28339207 59 02.418+06 31 30.81         22.07rV     W84
     tba7327 |C2013 01 06.29375807 59 01.978+06 31 33.05         21.63rV     W84


     tba7327 |C2013 01 06.29375807 59 01.978+06 31 33.05         21.63rV     W84
     te24036 |C2013 01 07.25771507 58 54.865+06 19 26.53         22.54rV     W84
     te24036 |C2013 01 07.26813107 58 54.379+06 19 31.40         22.59rV     W84
     te24036 |C2013 01 07.27859307 58 53.880+06 19 36.42         22.54rV     W84
