     tc041e5 |C2013 01 05.27437307 56 15.003+04 31 35.56         22.38rV     W84
     tc041e5 |C2013 01 05.28494607 56 14.677+04 31 35.04         22.91rV     W84
     tc041e5 |C2013 01 06.28946007 55 44.137+04 31 13.12         22.93rV     W84
     tc041e5 |C2013 01 06.29998807 55 43.804+04 31 12.83         22.87rV     W84
     tc041e5 |C2013 01 07.24227207 55 14.999+04 30 55.65         22.74rV     W84
     tc041e5 |C2013 01 07.26296407 55 14.366+04 30 55.79         22.21rV     W84
     tc041e5 |C2013 01 07.27347107 55 14.013+04 30 55.20         22.77rV     W84
     tc041e5 |C2013 01 07.27434207 55 13.988+04 30 55.21         22.66rV     W84


     tc041e5 |C2013 01 07.27434207 55 13.988+04 30 55.21         22.66rV     W84
