     tc10521 |C2013 01 04.21457508 05 43.168-02 03 29.82         22.59rV     W84
     tc10521 |C2013 01 04.22431008 05 42.857-02 03 29.88         22.33rV     W84
     tc10521 |C2013 01 04.24749908 05 42.160-02 03 30.53         22.86rV     W84
     tc10521 |C2013 01 04.25714208 05 41.861-02 03 30.84         22.65rV     W84
     tc10521 |C2013 01 05.21290508 05 12.824-02 03 54.33         22.74rV     W84
     tc10521 |C2013 01 05.22326308 05 12.496-02 03 54.39         22.90rV     W84
     tc10521 |C2013 01 05.23374408 05 12.163-02 03 54.70         22.77rV     W84
     tc10521 |C2013 01 05.24417108 05 11.844-02 03 55.04         22.35rV     W84
     tc10521 |C2013 01 06.23325608 04 41.434-02 04 12.79         22.58rV     W84
     tc10521 |C2013 01 06.24379708 04 41.099-02 04 12.89         21.86rV     W84


     t254109 |C2013 01 07.20810508 04 15.742-02 08 02.10         23.25rV     W84
     t254109 |C2013 01 07.21852008 04 15.411-02 08 00.26         22.85rV     W84
     t254109 |C2013 01 07.22884308 04 15.102-02 07 58.72         23.10rV     W84
     t254109 |C2013 01 07.23920308 04 14.760-02 07 56.79         23.04rV     W84
     tc10521 |C2013 01 06.24379708 04 41.099-02 04 12.89         21.86rV     W84
     tceb6d4 |C2013 01 06.25418708 04 38.525-02 18 12.62         22.63rV     W84
     tceb6d4 |C2013 01 06.26457608 04 38.204-02 18 11.92         22.32rV     W84
     t254109 |C2013 01 07.20810508 04 15.742-02 08 02.10         23.25rV     W84
     t254109 |C2013 01 07.21852008 04 15.411-02 08 00.26         22.85rV     W84
     t254109 |C2013 01 07.22884308 04 15.102-02 07 58.72         23.10rV     W84
     t254109 |C2013 01 07.23920308 04 14.760-02 07 56.79         23.04rV     W84
     t254109 |C2013 01 07.20810508 04 15.742-02 08 02.10         23.25rV     W84
     t254109 |C2013 01 07.21852008 04 15.411-02 08 00.26         22.85rV     W84
     t254109 |C2013 01 07.22884308 04 15.102-02 07 58.72         23.10rV     W84
     t254109 |C2013 01 07.23920308 04 14.760-02 07 56.79         23.04rV     W84
