     tc522a5 |C2015 01 18.21181509 05 34.818-01 54 05.30         23.25gV     W84
     tc522a5 |C2015 01 18.22189409 05 34.223-01 54 08.51         23.27gV     W84
     tc522a5 |C2015 01 18.24210909 05 33.011-01 54 15.29         23.49gV     W84
     tc522a5 |C2015 01 18.33878009 05 27.250-01 54 47.13         23.35gV     W84
     tc522a5 |C2015 01 18.35115709 05 26.505-01 54 51.25         23.65gV     W84
     tc522a5 |C2015 01 18.36124209 05 25.911-01 54 54.52         23.57gV     W84
     tc522a5 |C2015 01 19.22753709 04 35.586-01 59 34.37         22.93gV     W84
     tc522a5 |C2015 01 19.31720109 04 30.151-02 00 02.99         23.56gV     W84
     tc522a5 |C2015 01 19.32509709 04 29.674-02 00 05.64         23.66gV     W84
     tc522a5 |C2015 01 19.34638309 04 28.395-02 00 12.19         22.62gV     W84
     tc522a5 |C2015 01 19.35982009 04 27.577-02 00 16.57         22.60gV     W84
     tc522a5 |C2015 01 19.37101509 04 26.909-02 00 20.05         22.76gV     W84
     tc522a5 |C2015 01 20.22112709 03 36.825-02 04 44.55         22.42gV     W84
     tc522a5 |C2015 01 20.27427809 03 33.547-02 05 00.96         23.33gV     W84
     tc522a5 |C2015 01 20.29033609 03 32.541-02 05 05.80         23.65gV     W84
     tc522a5 |C2015 01 20.30522709 03 31.635-02 05 10.28         23.15gV     W84
     tc522a5 |C2015 01 20.34164509 03 29.418-02 05 21.32         22.32gV     W84
     tc522a5 |C2015 01 20.36767209 03 27.832-02 05 29.36         22.61gV     W84
     tc522a5 |C2015 01 21.23016409 02 36.288-02 09 47.27         22.70gV     W84
     tc522a5 |C2015 01 21.25644909 02 34.655-02 09 54.98         23.61gV     W84
     tc522a5 |C2015 01 21.27105009 02 33.759-02 09 59.40         23.56gV     W84
     tc522a5 |C2015 01 21.28668109 02 32.772-02 10 03.98         23.24gV     W84
     tc522a5 |C2015 01 21.33905009 02 29.524-02 10 19.31         22.74gV     W84
     tc522a5 |C2015 01 21.36717109 02 27.801-02 10 27.37         23.16gV     W84
     tc522a5 |C2015 01 22.24086209 01 34.923-02 14 38.18         23.24gV     W84
     tc522a5 |C2015 01 22.25854409 01 33.808-02 14 43.10         23.17gV     W84
     tc522a5 |C2015 01 22.27526009 01 32.767-02 14 47.77         22.87gV     W84
     tc522a5 |C2015 01 22.32914609 01 29.376-02 15 02.86         23.06gV     W84
     tc522a5 |C2015 01 22.34385209 01 28.464-02 15 06.97         22.78gV     W84
     tc522a5 |C2015 01 22.35994509 01 27.446-02 15 11.48         23.42gV     W84
     tc522a5 |C2015 01 23.20843609 00 35.617-02 19 04.79         23.44gV     W84
     tc522a5 |C2015 01 23.30432609 00 29.525-02 19 30.72         22.68gV     W84
     tc522a5 |C2015 01 23.32228109 00 28.388-02 19 35.25         23.34gV     W84
     tc522a5 |C2015 01 23.33911309 00 27.310-02 19 39.91         23.60gV     W84
     tc522a5 |C2015 01 23.35590609 00 26.258-02 19 44.41         22.69gV     W84
     tc522a5 |C2015 01 23.37106809 00 25.303-02 19 48.47         22.70gV     W84
     tc522a5 |C2015 01 24.20426708 59 33.937-02 23 27.39         23.07gV     W84
     tc522a5 |C2015 01 24.25420608 59 30.736-02 23 40.26         22.56gV     W84
     tc522a5 |C2015 01 24.27619008 59 29.324-02 23 46.00         22.33gV     W84
     tc522a5 |C2015 01 24.32374908 59 26.287-02 23 57.99         22.67gV     W84
     tc522a5 |C2015 01 24.34226408 59 25.095-02 24 02.77         22.78gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84


     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
