     tc6f988 |C2014 03 01.21605011 34 21.917-02 26 34.84         23.53gV     W84
     tc6f988 |C2014 03 01.31083611 34 19.298-02 26 15.29         23.60gV     W84
     tc6f988 |C2014 03 02.28651011 33 52.779-02 22 53.39         22.52gV     W84
     tc6f988 |C2014 03 02.38242511 33 50.156-02 22 33.40         23.61gV     W84
     tc6f988 |C2014 03 03.09347011 33 30.905-02 20 04.24         23.43gV     W84
     tc6f988 |C2014 03 03.18529011 33 28.335-02 19 44.90         23.67gV     W84
     tc6f988 |C2014 03 03.28553911 33 25.504-02 19 23.73         23.50gV     W84
     tc6f988 |C2014 03 05.09234311 32 35.704-02 12 57.82         23.36gV     W84
     tc6f988 |C2014 03 05.20230711 32 32.582-02 12 34.03         23.74gV     W84
     tc6f988 |C2014 03 05.29557111 32 29.918-02 12 13.84         23.35gV     W84


     tc6f988 |C2014 03 05.29557111 32 29.918-02 12 13.84         23.35gV     W84
