     tc7d534 |C2014 03 08.13934310 18 58.638+00 03 17.67         23.14rV     W84
     tc7d534 |C2014 03 08.20718710 18 56.266+00 03 22.00         23.43gV     W84
     tc7d534 |C2014 03 08.21449810 18 55.958+00 03 22.18         23.07rV     W84
     tc7d534 |C2014 03 08.22185410 18 55.704+00 03 22.84         22.78iV     W84
     tc7d534 |C2014 03 08.28234210 18 53.608+00 03 26.26         23.26gV     W84
     tc7d534 |C2014 03 08.28962210 18 53.328+00 03 26.76         23.17rV     W84
     tc7d534 |C2014 03 09.08089410 18 26.287+00 04 14.65         23.44rV     W84
     tc7d534 |C2014 03 09.14894610 18 23.902+00 04 19.50         22.33gV     W84
     tc7d534 |C2014 03 09.20504410 18 21.926+00 04 22.08         22.87rV     W84
     tc7d534 |C2014 03 09.22988110 18 21.052+00 04 23.86         23.39gV     W84
     tc7d534 |C2014 03 09.28091910 18 19.275+00 04 27.05         23.15gV     W84
     tc7d534 |C2014 03 09.31574310 18 18.050+00 04 28.99         23.28rV     W84
     tc7d534 |C2014 03 10.02156410 17 54.178+00 05 12.81         23.01rV     W84
     tc7d534 |C2014 03 10.03149810 17 53.855+00 05 12.91         22.21rV     W84
     tc7d534 |C2014 03 10.04141610 17 53.516+00 05 13.84         23.01rV     W84


     t13007d |C2014 03 10.23304110 18 47.086-00 06 45.25         23.81gV     W84
     t13007d |C2014 03 10.25289310 18 46.549-00 06 40.15         24.09gV     W84
     t13007d |C2014 03 10.28505710 18 45.699-00 06 31.97         23.47rV     W84
     t4a4a84 |C2014 03 10.15226010 16 01.833+00 05 57.86         22.87rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
     ta2d223 |C2014 03 10.23800510 17 09.149-00 05 08.56         23.72rV     W84
     ta2d223 |C2014 03 10.24792710 17 08.888-00 05 05.93         24.14rV     W84
     ta2d223 |C2014 03 10.25785510 17 08.621-00 05 03.16         24.13rV     W84
     tc7d534 |C2014 03 10.04141610 17 53.516+00 05 13.84         23.01rV     W84
     tdf7a89 |C2014 03 10.10528110 16 56.509-00 01 44.51         21.91rV     W84
     tdf7a89 |C2014 03 10.12016610 16 56.097-00 01 42.33         22.70gV     W84
     tdf7a89 |C2014 03 10.14730510 16 55.236-00 01 37.89         23.18gV     W84
     tdf7a89 |C2014 03 10.15226010 16 55.101-00 01 37.01         22.44rV     W84
     t4a4a84 |C2014 03 10.15226010 16 01.833+00 05 57.86         22.87rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
     t4a4a84 |C2014 03 10.15226010 16 01.833+00 05 57.86         22.87rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
