     tdf7a89 |C2014 03 08.04979410 17 58.764-00 07 14.26         23.17gV     W84
     tdf7a89 |C2014 03 08.13206010 17 56.169-00 07 00.96         23.48gV     W84
     tdf7a89 |C2014 03 08.20718710 17 53.835-00 06 49.08         23.16gV     W84
     tdf7a89 |C2014 03 08.21449810 17 53.592-00 06 47.87         23.06rV     W84
     tdf7a89 |C2014 03 08.28234210 17 51.466-00 06 36.99         23.20gV     W84
     tdf7a89 |C2014 03 08.28962210 17 51.265-00 06 36.04         22.43rV     W84
     tdf7a89 |C2014 03 09.01512510 17 29.397-00 04 39.92         23.08rV     W84
     tdf7a89 |C2014 03 09.11154210 17 26.425-00 04 24.47         22.84gV     W84
     tdf7a89 |C2014 03 09.15887810 17 24.950-00 04 16.90         23.03gV     W84
     tdf7a89 |C2014 03 09.21995210 17 23.051-00 04 07.10         23.22gV     W84
     tdf7a89 |C2014 03 09.26604910 17 21.639-00 03 59.74         22.67rV     W84
     tdf7a89 |C2014 03 09.31574310 17 20.127-00 03 51.85         22.38rV     W84
     tdf7a89 |C2014 03 10.01161610 16 59.407-00 01 59.79         23.11rV     W84
     tdf7a89 |C2014 03 10.03149810 16 58.801-00 01 56.61         22.88rV     W84
     tdf7a89 |C2014 03 10.10528110 16 56.509-00 01 44.51         21.91rV     W84
     tdf7a89 |C2014 03 10.12016610 16 56.097-00 01 42.33         22.70gV     W84
     tdf7a89 |C2014 03 10.14730510 16 55.236-00 01 37.89         23.18gV     W84
     tdf7a89 |C2014 03 10.15226010 16 55.101-00 01 37.01         22.44rV     W84


     t3d09ce |C2014 03 10.22310410 16 59.543-00 19 17.65         23.67gV     W84
     t3d09ce |C2014 03 10.23800510 16 59.079-00 19 15.88         22.91rV     W84
     t3d09ce |C2014 03 10.25289310 16 58.627-00 19 14.00         23.27gV     W84
     t4a4a84 |C2014 03 10.15226010 16 01.833+00 05 57.86         22.87rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
     ta2d223 |C2014 03 10.23800510 17 09.149-00 05 08.56         23.72rV     W84
     ta2d223 |C2014 03 10.24792710 17 08.888-00 05 05.93         24.14rV     W84
     ta2d223 |C2014 03 10.25785510 17 08.621-00 05 03.16         24.13rV     W84
     tdf7a89 |C2014 03 10.15226010 16 55.101-00 01 37.01         22.44rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
     ta2d223 |C2014 03 10.23800510 17 09.149-00 05 08.56         23.72rV     W84
     ta2d223 |C2014 03 10.24792710 17 08.888-00 05 05.93         24.14rV     W84
     ta2d223 |C2014 03 10.25785510 17 08.621-00 05 03.16         24.13rV     W84
     t4a4a84 |C2014 03 10.23304110 15 58.057+00 06 40.21         23.89gV     W84
     t4a4a84 |C2014 03 10.23800510 15 57.873+00 06 42.38         23.13rV     W84
     t4a4a84 |C2014 03 10.25785510 15 56.975+00 06 53.15         22.35rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
     ta2d223 |C2014 03 10.23800510 17 09.149-00 05 08.56         23.72rV     W84
     ta2d223 |C2014 03 10.24792710 17 08.888-00 05 05.93         24.14rV     W84
     ta2d223 |C2014 03 10.25785510 17 08.621-00 05 03.16         24.13rV     W84
