     tdfd6b5 |C2015 01 20.21322309 06 23.515-02 01 45.28         22.54gV     W84
     tdfd6b5 |C2015 01 20.22452109 06 23.046-02 01 38.71         22.55gV     W84
     tdfd6b5 |C2015 01 20.25697209 06 21.717-02 01 19.86         22.47gV     W84
     tdfd6b5 |C2015 01 20.35528009 06 17.675-02 00 22.98         22.36gV     W84
     tdfd6b5 |C2015 01 20.36643109 06 17.217-02 00 16.51         22.28gV     W84
     tdfd6b5 |C2015 01 20.37015809 06 17.073-02 00 14.35         22.23gV     W84
     tdfd6b5 |C2015 01 21.23128509 05 42.944-01 51 48.95         22.70gV     W84
     tdfd6b5 |C2015 01 21.36840109 05 37.197-01 50 27.32         22.12gV     W84
     tdfd6b5 |C2015 01 21.36963709 05 37.139-01 50 26.68         22.46gV     W84
     tdfd6b5 |C2015 01 21.37086609 05 37.096-01 50 25.83         22.19gV     W84
     tdfd6b5 |C2015 01 21.37210009 05 37.044-01 50 25.05         22.36gV     W84
     tdfd6b5 |C2015 01 22.21026909 05 03.286-01 41 59.74         22.47gV     W84
     tdfd6b5 |C2015 01 22.22196009 05 02.777-01 41 52.74         22.15gV     W84
     tdfd6b5 |C2015 01 22.23412909 05 02.266-01 41 45.23         22.62gV     W84
     tdfd6b5 |C2015 01 22.35373409 04 57.172-01 40 32.15         22.83gV     W84
     tdfd6b5 |C2015 01 22.36258909 04 56.793-01 40 26.83         22.58gV     W84
     tdfd6b5 |C2015 01 22.37203109 04 56.392-01 40 21.06         21.73gV     W84
     tdfd6b5 |C2015 01 23.31444109 04 17.563-01 30 37.27         22.43gV     W84
     tdfd6b5 |C2015 01 23.33798609 04 16.543-01 30 22.46         22.50gV     W84
     tdfd6b5 |C2015 01 23.36146909 04 15.528-01 30 07.80         22.40gV     W84
     tdfd6b5 |C2015 01 23.36371509 04 15.446-01 30 06.51         23.19gV     W84
     tdfd6b5 |C2015 01 23.36734209 04 15.291-01 30 04.34         22.47gV     W84
     tdfd6b5 |C2015 01 23.36983209 04 15.184-01 30 02.62         22.19gV     W84


     t0d4e58 |C2015 01 24.27005909 04 58.972-01 44 12.40         23.15gV     W84
     t0d4e58 |C2015 01 24.29283409 04 57.806-01 44 01.67         23.69gV     W84
     t0d4e58 |C2015 01 25.21630009 04 13.082-01 36 53.20         22.61gV     W84
     t0d4e58 |C2015 01 25.25334209 04 11.190-01 36 35.72         22.82gV     W84
     t0d4e58 |C2015 01 25.28255209 04 09.702-01 36 21.92         23.10gV     W84
     t0d4e58 |C2015 01 25.32632809 04 07.474-01 36 01.09         23.07gV     W84
     t0d4e58 |C2015 01 25.34991609 04 06.278-01 35 50.00         22.83gV     W84
     t0d4e58 |C2015 01 25.37004109 04 05.264-01 35 40.52         22.43gV     W84
     tdfd6b5 |C2015 01 23.36983209 04 15.184-01 30 02.62         22.19gV     W84
