     te03974 |C2013 01 04.31629708 16 45.910+02 49 56.99         22.00rV     W84
     te03974 |C2013 01 04.32669708 16 45.509+02 49 58.42         21.92rV     W84
     te03974 |C2013 01 04.33702508 16 45.037+02 50 00.18         22.67rV     W84
     te03974 |C2013 01 05.29320508 16 05.276+02 52 53.60         21.67rV     W84
     te03974 |C2013 01 05.32473308 16 03.912+02 52 59.41         22.08rV     W84
     te03974 |C2013 01 05.34157308 16 03.176+02 53 02.43         22.19rV     W84
     te03974 |C2013 01 05.34243708 16 03.157+02 53 02.65         22.48rV     W84
     te03974 |C2013 01 05.35282608 16 02.703+02 53 04.54         21.81rV     W84
     te03974 |C2013 01 05.36321208 16 02.247+02 53 06.56         21.80rV     W84
     te03974 |C2013 01 07.35666408 14 37.008+02 59 39.28         22.12rV     W84
     te03974 |C2013 01 07.35752908 14 36.958+02 59 39.35         22.29rV     W84


     te03974 |C2013 01 07.35752908 14 36.958+02 59 39.35         22.29rV     W84
