     te439e0 |C2016 09 02.97817020 59 28.932-27 56 15.21         22.15VV     W84
     te439e0 |C2016 09 02.98021920 59 28.862-27 56 15.77         22.59VV     W84
     te439e0 |C2016 09 02.98319820 59 28.755-27 56 17.14         23.42VV     W84
     te439e0 |C2016 09 02.98945520 59 28.544-27 56 18.89         23.08VV     W84
     te439e0 |C2016 09 02.99503120 59 28.362-27 56 20.72         23.60VV     W84
     te439e0 |C2016 09 03.15969820 59 22.794-27 57 13.37         22.78VV     W84
     te439e0 |C2016 09 04.00645220 58 56.931-28 01 33.82         22.66VV     W84
     te439e0 |C2016 09 04.01088320 58 56.805-28 01 35.04         22.86VV     W84
     te439e0 |C2016 09 04.98942620 58 27.931-28 06 23.99         22.96VV     W84
     te439e0 |C2016 09 04.99395720 58 27.795-28 06 25.19         22.71VV     W84


     te439e0 |C2016 09 04.99395720 58 27.795-28 06 25.19         22.71VV     W84
