     te567a8 |C2012 12 06.12478802 12 50.811+00 44 24.76         22.71gV     W84
     te567a8 |C2012 12 06.13026902 12 50.710+00 44 24.25         23.14gV     W84
     te567a8 |C2012 12 06.13855602 12 50.559+00 44 23.29         22.80gV     W84
     te567a8 |C2012 12 06.13992102 12 50.533+00 44 23.26         22.67rV     W84
     te567a8 |C2012 12 06.14558802 12 50.423+00 44 22.84         22.81rV     W84
     te567a8 |C2012 12 06.15110602 12 50.342+00 44 22.26         23.58gV     W84
     te567a8 |C2012 12 07.16034402 12 34.378+00 42 59.95         22.69iV     W84
     te567a8 |C2012 12 07.16395802 12 34.329+00 42 59.58         22.68iV     W84
     te567a8 |C2012 12 07.16755702 12 34.250+00 42 59.45         22.44iV     W84
     te567a8 |C2012 12 07.17114302 12 34.199+00 42 59.19         22.29iV     W84
     te567a8 |C2012 12 07.18204502 12 34.017+00 42 58.22         22.41iV     W84
     te567a8 |C2012 12 08.18660002 12 19.690+00 41 50.09         22.14iV     W84
     te567a8 |C2012 12 08.18796702 12 19.682+00 41 49.90         22.67iV     W84


     te567a8 |C2012 12 08.18796702 12 19.682+00 41 49.90         22.67iV     W84
