     te77523 |C2015 01 20.21087909 04 49.936-01 31 42.54         23.16gV     W84
     te77523 |C2015 01 20.22112709 04 49.430-01 31 44.92         22.96gV     W84
     te77523 |C2015 01 20.23531409 04 48.753-01 31 47.81         23.28gV     W84
     te77523 |C2015 01 20.24641409 04 48.220-01 31 50.04         23.14gV     W84
     te77523 |C2015 01 20.30769209 04 45.239-01 32 03.02         23.22gV     W84
     te77523 |C2015 01 20.33794609 04 43.770-01 32 09.33         23.02gV     W84
     te77523 |C2015 01 21.20796509 04 03.329-01 35 06.02         21.82gV     W84
     te77523 |C2015 01 21.23917809 04 01.784-01 35 12.68         23.39gV     W84
     te77523 |C2015 01 21.26013709 04 00.748-01 35 16.93         23.01gV     W84
     te77523 |C2015 01 21.28890609 03 59.329-01 35 22.46         23.53gV     W84
     te77523 |C2015 01 21.33124509 03 57.245-01 35 30.56         22.88gV     W84
     te77523 |C2015 01 21.36096009 03 55.777-01 35 36.49         23.23gV     W84
     te77523 |C2015 01 22.21258409 03 15.510-01 38 17.54         23.44gV     W84
     te77523 |C2015 01 22.24492209 03 13.908-01 38 23.71         23.44gV     W84
     te77523 |C2015 01 22.25741309 03 13.276-01 38 25.79         23.11gV     W84
     te77523 |C2015 01 22.27899709 03 12.191-01 38 29.74         23.32gV     W84
     te77523 |C2015 01 22.30236609 03 11.026-01 38 33.94         23.55gV     W84
     te77523 |C2015 01 22.35126809 03 08.592-01 38 42.87         23.50gV     W84
     te77523 |C2015 01 23.21045209 02 27.328-01 41 13.21         23.44gV     W84
     te77523 |C2015 01 23.24389009 02 25.634-01 41 18.94         23.52gV     W84
     te77523 |C2015 01 23.26842109 02 24.383-01 41 23.01         23.25gV     W84
     te77523 |C2015 01 23.28746209 02 23.402-01 41 26.22         23.11gV     W84
     te77523 |C2015 01 23.30095709 02 22.722-01 41 28.60         23.44gV     W84
     te77523 |C2015 01 23.34024309 02 20.736-01 41 35.05         23.76gV     W84
     te77523 |C2015 01 24.20626509 01 38.567-01 43 54.32         23.59gV     W84
     te77523 |C2015 01 24.28158709 01 34.681-01 44 06.02         23.06gV     W84
     te77523 |C2015 01 24.30752309 01 33.349-01 44 10.24         23.48gV     W84
     te77523 |C2015 01 24.31698109 01 32.880-01 44 11.43         23.41gV     W84
     te77523 |C2015 01 24.33294509 01 32.063-01 44 13.69         23.55gV     W84
     te77523 |C2015 01 24.35190309 01 31.089-01 44 16.64         23.47gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84


     P10izyT* C2015 01 25.38189 08 55 51.710-02 08 08.04         21.9 wL     F51
     P10izyT  C2015 01 25.39496 08 55 50.942-02 08 09.37         21.7 wL     F51
     P10izyT  C2015 01 25.42109 08 55 49.425-02 08 11.81         21.6 wL     F51
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
