     te85756 |C2015 09 11.31539602 47 35.800-01 29 41.08         22.01iV     W84
     te85756 |C2015 09 11.32069302 47 35.787-01 29 40.99         22.08zV     W84
     te85756 |C2015 09 12.30839802 47 33.407-01 29 51.70         22.51gV     W84
     te85756 |C2015 09 12.31060402 47 33.385-01 29 51.84         22.20rV     W84
     te85756 |C2015 09 12.31294002 47 33.377-01 29 51.68         21.90iV     W84
     te85756 |C2015 09 12.31558902 47 33.359-01 29 51.71         21.95zV     W84
     te85756 |C2015 09 12.31823302 47 33.355-01 29 51.89         22.09zV     W84
     te85756 |C2015 09 19.32701402 46 27.098-01 31 53.52         21.94rV     W84
     te85756 |C2015 09 19.32937402 46 27.071-01 31 53.53         21.60iV     W84
     te85756 |C2015 09 19.33466602 46 26.974-01 31 53.64         21.85zV     W84


     te85756 |C2015 09 19.33466602 46 26.974-01 31 53.64         21.85zV     W84
