     te8d742 |C2014 03 03.06267811 02 23.636-05 02 11.33         22.88gV     W84
     te8d742 |C2014 03 03.15449611 02 20.841-05 01 59.18         22.43gV     W84
     te8d742 |C2014 03 03.24575211 02 18.076-05 01 47.30         23.38gV     W84
     te8d742 |C2014 03 03.35799311 02 14.667-05 01 32.63         22.76gV     W84
     te8d742 |C2014 03 04.06386011 01 53.837-04 59 59.40         23.22gV     W84
     te8d742 |C2014 03 04.15748911 01 50.985-04 59 47.07         22.45gV     W84
     te8d742 |C2014 03 04.24822911 01 48.239-04 59 34.78         22.94gV     W84
     te8d742 |C2014 03 04.35195711 01 45.100-04 59 20.98         22.15gV     W84
     te8d742 |C2014 03 05.06168911 01 24.115-04 57 45.28         23.17gV     W84
     te8d742 |C2014 03 05.16629811 01 20.938-04 57 30.75         22.60gV     W84
     te8d742 |C2014 03 05.25978011 01 18.088-04 57 18.34         23.32gV     W84
     te8d742 |C2014 03 05.35660611 01 15.140-04 57 04.96         22.71gV     W84


     te8d742 |C2014 03 05.35660611 01 15.140-04 57 04.96         22.71gV     W84
