     te9a0e0 |C2014 03 08.10075210 10 20.561-01 41 48.15         22.87rV     W84
     te9a0e0 |C2014 03 08.18201110 10 13.645-01 42 14.78         23.40gV     W84
     te9a0e0 |C2014 03 08.20045510 10 12.084-01 42 21.02         22.71rV     W84
     te9a0e0 |C2014 03 08.25721610 10 07.275-01 42 39.89         23.24gV     W84
     te9a0e0 |C2014 03 08.26334610 10 06.758-01 42 42.02         22.63rV     W84
     te9a0e0 |C2014 03 08.30016410 10 03.637-01 42 54.14         22.34rV     W84
     te9a0e0 |C2014 03 09.13402010 08 56.558-01 47 25.04         22.48rV     W84
     te9a0e0 |C2014 03 09.19039810 08 51.871-01 47 43.22         22.21iV     W84
     te9a0e0 |C2014 03 09.19507010 08 51.488-01 47 44.55         22.20rV     W84
     te9a0e0 |C2014 03 09.24476910 08 47.414-01 48 00.42         22.56rV     W84
     te9a0e0 |C2014 03 09.25678710 08 46.377-01 48 04.37         21.91iV     W84
     te9a0e0 |C2014 03 09.30579910 08 42.348-01 48 20.12         22.65rV     W84
     te9a0e0 |C2014 03 10.07331610 07 42.047-01 52 23.45         22.74rV     W84
     te9a0e0 |C2014 03 10.14174510 07 36.419-01 52 45.03         22.24iV     W84
     te9a0e0 |C2014 03 10.17415310 07 33.730-01 52 55.40         22.75rV     W84
     te9a0e0 |C2014 03 10.26283510 07 26.513-01 53 23.15         23.46gV     W84
     te9a0e0 |C2014 03 10.26780710 07 26.136-01 53 24.72         23.94rV     W84
     te9a0e0 |C2014 03 10.29649810 07 23.841-01 53 33.51         22.75gV     W84


     te9a0e0 |C2014 03 10.29649810 07 23.841-01 53 33.51         22.75gV     W84
