     teb2bc4 |C2014 02 22.21231211 39 40.565-12 20 08.54         22.46iV     W84
     teb2bc4 |C2014 02 22.24093111 39 39.852-12 20 02.88         22.49iV     W84
     teb2bc4 |C2014 02 22.26350611 39 39.290-12 19 58.45         22.49iV     W84
     teb2bc4 |C2014 02 22.29269311 39 38.573-12 19 52.63         22.46iV     W84
     teb2bc4 |C2014 02 22.31862111 39 37.924-12 19 47.60         22.66iV     W84
     teb2bc4 |C2014 02 22.34441611 39 37.287-12 19 42.32         22.53iV     W84
     teb2bc4 |C2014 02 23.26354711 39 15.094-12 16 37.32         23.21gV     W84
     teb2bc4 |C2014 02 23.26561411 39 15.038-12 16 36.83         22.99gV     W84
     teb2bc4 |C2014 02 23.26712311 39 15.000-12 16 36.66         23.70gV     W84
     teb2bc4 |C2014 02 23.26862111 39 14.954-12 16 36.02         23.03gV     W84
     teb2bc4 |C2014 02 24.24720711 38 50.922-12 13 13.39         22.49iV     W84
     teb2bc4 |C2014 02 24.25250211 38 50.783-12 13 12.30         22.67iV     W84
     teb2bc4 |C2014 02 24.25573511 38 50.697-12 13 11.71         22.33iV     W84
     teb2bc4 |C2014 02 24.26221011 38 50.530-12 13 10.28         22.62iV     W84
     teb2bc4 |C2014 02 24.26867611 38 50.369-12 13 08.95         22.65iV     W84
     teb2bc4 |C2014 02 24.27190711 38 50.291-12 13 08.26         22.44iV     W84


     t5ae45a |C2014 02 24.27190711 39 21.571-12 06 30.43         23.11iV     W84
     t65a86c |C2014 02 24.27190711 38 48.909-12 03 01.82         23.26iV     W84
     teb2bc4 |C2014 02 24.27190711 38 50.291-12 13 08.26         22.44iV     W84
