     teb3ef1 |C2014 02 22.21231211 41 11.063-12 51 18.27         22.62iV     W84
     teb3ef1 |C2014 02 22.24093111 41 10.356-12 51 14.34         22.75iV     W84
     teb3ef1 |C2014 02 22.26026311 41 09.862-12 51 11.54         22.38iV     W84
     teb3ef1 |C2014 02 22.28945611 41 09.134-12 51 07.47         22.86iV     W84
     teb3ef1 |C2014 02 22.32183711 41 08.330-12 51 02.88         22.58iV     W84
     teb3ef1 |C2014 02 22.34119211 41 07.835-12 51 00.02         22.79iV     W84
     teb3ef1 |C2014 02 23.26354711 40 45.273-12 48 46.58         22.74gV     W84
     teb3ef1 |C2014 02 23.26561411 40 45.204-12 48 46.06         22.70gV     W84
     teb3ef1 |C2014 02 23.26712311 40 45.167-12 48 45.78         22.82gV     W84
     teb3ef1 |C2014 02 24.25250211 40 20.643-12 46 17.65         22.79iV     W84
     teb3ef1 |C2014 02 24.25896611 40 20.480-12 46 16.58         22.82iV     W84
     teb3ef1 |C2014 02 24.26221011 40 20.398-12 46 16.12         22.80iV     W84
     teb3ef1 |C2014 02 24.26545011 40 20.313-12 46 15.65         22.81iV     W84
     teb3ef1 |C2014 02 24.26867611 40 20.225-12 46 15.22         23.05iV     W84
     teb3ef1 |C2014 02 24.27190711 40 20.140-12 46 14.61         23.00iV     W84


     teb3ef1 |C2014 02 24.27190711 40 20.140-12 46 14.61         23.00iV     W84
