     tebc9b3 |C2015 01 18.21965109 03 23.296-02 56 55.95         23.15gV     W84
     tebc9b3 |C2015 01 18.24322809 03 22.180-02 56 55.40         23.26gV     W84
     tebc9b3 |C2015 01 18.26794909 03 20.978-02 56 54.57         23.71gV     W84
     tebc9b3 |C2015 01 18.31863009 03 18.554-02 56 53.14         23.85gV     W84
     tebc9b3 |C2015 01 18.33878009 03 17.603-02 56 52.33         23.79gV     W84
     tebc9b3 |C2015 01 18.35563309 03 16.784-02 56 51.81         23.54gV     W84
     tebc9b3 |C2015 01 19.21103209 02 37.612-02 56 16.43         23.91gV     W84
     tebc9b3 |C2015 01 19.26791509 02 34.839-02 56 13.65         23.27gV     W84
     tebc9b3 |C2015 01 19.27910209 02 34.301-02 56 13.06         23.69gV     W84
     tebc9b3 |C2015 01 19.29481609 02 33.519-02 56 12.17         23.43gV     W84
     tebc9b3 |C2015 01 19.31946409 02 32.329-02 56 11.05         23.65gV     W84
     tebc9b3 |C2015 01 19.34975109 02 30.852-02 56 09.48         23.44gV     W84
     tebc9b3 |C2015 01 20.21087909 01 50.664-02 55 19.70         23.30gV     W84
     tebc9b3 |C2015 01 20.21660109 01 50.369-02 55 19.25         23.23gV     W84
     tebc9b3 |C2015 01 20.24887909 01 48.749-02 55 17.35         23.79gV     W84
     tebc9b3 |C2015 01 20.26438909 01 48.003-02 55 16.23         23.80gV     W84
     tebc9b3 |C2015 01 20.28292909 01 47.077-02 55 14.94         23.87gV     W84
     tebc9b3 |C2015 01 20.33918009 01 44.294-02 55 11.14         23.76gV     W84
     tebc9b3 |C2015 01 21.20796509 01 03.012-02 54 06.59         23.81gV     W84
     tebc9b3 |C2015 01 21.23917809 01 01.441-02 54 03.94         22.98gV     W84
     tebc9b3 |C2015 01 21.26505809 01 00.129-02 54 01.91         23.73gV     W84
     tebc9b3 |C2015 01 21.28445409 00 59.138-02 54 00.40         23.63gV     W84
     tebc9b3 |C2015 01 21.32118109 00 57.308-02 53 57.20         23.62gV     W84
     tebc9b3 |C2015 01 21.35849109 00 55.441-02 53 54.22         23.13gV     W84
     tebc9b3 |C2015 01 23.20843608 59 25.249-02 50 50.74         23.17gV     W84
     tebc9b3 |C2015 01 23.21925908 59 24.694-02 50 49.37         23.13gV     W84
     tebc9b3 |C2015 01 23.22933208 59 24.164-02 50 48.20         23.25gV     W84
     tebc9b3 |C2015 01 23.24724308 59 23.242-02 50 46.05         23.83gV     W84
     tebc9b3 |C2015 01 23.26730308 59 22.217-02 50 43.80         23.65gV     W84
     tebc9b3 |C2015 01 23.28074908 59 21.505-02 50 42.26         23.46gV     W84


     t12c88c |C2015 01 23.28188708 59 29.841-02 35 14.11         23.26gV     W84
     t12c88c |C2015 01 23.29871808 59 29.062-02 35 14.92         23.78gV     W84
     t12c88c |C2015 01 23.35030108 59 26.680-02 35 17.41         23.87gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t2f3bec |C2015 01 24.30213509 00 07.372-02 49 03.39         22.03gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t4c1722 |C2015 01 24.20626509 00 00.300-02 59 23.42         23.44gV     W84
     t4c1722 |C2015 01 24.21563808 59 59.831-02 59 20.53         23.02gV     W84
     t4c1722 |C2015 01 24.22466408 59 59.371-02 59 17.76         23.60gV     W84
     t4c1722 |C2015 01 24.23369408 59 58.911-02 59 15.09         23.09gV     W84
     t4c1722 |C2015 01 24.24271108 59 58.475-02 59 12.20         23.50gV     W84
     t4c1722 |C2015 01 24.26288808 59 57.445-02 59 05.94         22.36gV     W84
     tebc9b3 |C2015 01 23.28074908 59 21.505-02 50 42.26         23.46gV     W84
     tff77dd |C2015 01 24.20426708 59 51.645-02 48 41.50         23.11gV     W84
     tff77dd |C2015 01 24.24047308 59 49.551-02 48 36.89         23.30gV     W84
     tff77dd |C2015 01 24.27123708 59 47.789-02 48 33.06         22.82gV     W84
     tff77dd |C2015 01 24.32104008 59 44.921-02 48 26.61         22.65gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
