     tef7eb1 |C2015 01 20.27796109 06 44.212-02 38 28.54         23.67gV     W84
     tef7eb1 |C2015 01 20.30522709 06 42.856-02 38 27.66         23.35gV     W84
     tef7eb1 |C2015 01 20.31883909 06 42.183-02 38 27.14         23.42gV     W84
     tef7eb1 |C2015 01 20.33301509 06 41.462-02 38 26.73         22.81gV     W84
     tef7eb1 |C2015 01 20.34289309 06 40.980-02 38 26.25         23.10gV     W84
     tef7eb1 |C2015 01 20.35653009 06 40.321-02 38 25.70         23.47gV     W84
     tef7eb1 |C2015 01 21.20796509 05 59.342-02 37 50.31         23.12gV     W84
     tef7eb1 |C2015 01 21.22347209 05 58.576-02 37 49.67         23.46gV     W84
     tef7eb1 |C2015 01 21.23917809 05 57.792-02 37 48.87         23.44gV     W84
     tef7eb1 |C2015 01 21.25522009 05 56.972-02 37 48.09         23.45gV     W84
     tef7eb1 |C2015 01 21.28890609 05 55.276-02 37 46.48         23.44gV     W84
     tef7eb1 |C2015 01 21.36219509 05 51.612-02 37 43.00         23.00gV     W84
     tef7eb1 |C2015 01 22.23143209 05 09.120-02 36 56.26         23.27gV     W84
     tef7eb1 |C2015 01 22.24953209 05 08.207-02 36 54.97         23.12gV     W84
     tef7eb1 |C2015 01 22.26657609 05 07.336-02 36 54.08         23.39gV     W84
     tef7eb1 |C2015 01 22.29208509 05 06.028-02 36 52.50         23.16gV     W84
     tef7eb1 |C2015 01 22.30864509 05 05.205-02 36 51.24         23.68gV     W84
     tef7eb1 |C2015 01 22.34879609 05 03.151-02 36 48.92         23.42gV     W84
     tef7eb1 |C2015 01 23.21255209 04 20.420-02 35 52.49         23.38gV     W84
     tef7eb1 |C2015 01 23.23605609 04 19.212-02 35 50.73         23.95gV     W84
     tef7eb1 |C2015 01 23.30995109 04 15.394-02 35 45.32         23.58gV     W84
     tef7eb1 |C2015 01 23.32565209 04 14.598-02 35 44.30         23.20gV     W84
     tef7eb1 |C2015 01 23.34024309 04 13.846-02 35 43.23         23.29gV     W84
     tef7eb1 |C2015 01 23.35701909 04 13.000-02 35 41.96         23.32gV     W84
     tef7eb1 |C2015 01 24.20426709 03 30.591-02 34 36.52         23.32gV     W84
     tef7eb1 |C2015 01 24.21228409 03 30.192-02 34 35.84         23.60gV     W84
     tef7eb1 |C2015 01 24.22124109 03 29.725-02 34 34.90         23.58gV     W84
     tef7eb1 |C2015 01 24.22697009 03 29.434-02 34 34.53         23.53gV     W84
     tef7eb1 |C2015 01 24.26039309 03 27.678-02 34 31.99         23.70gV     W84
     tef7eb1 |C2015 01 24.35302309 03 22.861-02 34 24.22         22.24gV     W84


     t1ed05c |C2015 01 24.35302309 02 47.374-02 39 21.88         23.32gV     W84
     t3936fd |C2015 01 24.36814409 03 51.216-02 33 24.43         22.65gV     W84
     t3936fd |C2015 01 25.22864509 03 07.157-02 31 34.76         23.20gV     W84
     t3936fd |C2015 01 25.26570909 03 05.179-02 31 29.69         23.81gV     W84
     t3936fd |C2015 01 25.27918809 03 04.467-02 31 28.10         23.33gV     W84
     t3936fd |C2015 01 25.29043609 03 03.863-02 31 26.47         22.85gV     W84
     t3936fd |C2015 01 25.30389909 03 03.137-02 31 24.68         23.23gV     W84
     t3936fd |C2015 01 25.35998109 03 00.154-02 31 16.99         23.64gV     W84
     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     ta2d659 |C2015 01 24.35414909 02 20.262-02 27 37.95         23.27gV     W84
     ta322ea |C2015 01 24.35864509 02 41.170-02 48 11.30         23.26gV     W84
     ta79c79 |C2015 01 25.33195109 04 28.436-02 27 31.58         23.30gV     W84
     ta79c79 |C2015 01 25.36334009 04 26.662-02 27 32.53         23.59gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
     tef7eb1 |C2015 01 24.35302309 03 22.861-02 34 24.22         22.24gV     W84
     t1ed05c |C2015 01 25.20889709 02 01.536-02 35 37.86         23.72gV     W84
     t1ed05c |C2015 01 25.23426109 02 00.128-02 35 31.22         23.06gV     W84
     t1ed05c |C2015 01 25.26234509 01 58.569-02 35 23.56         23.10gV     W84
     t1ed05c |C2015 01 25.28593309 01 57.257-02 35 17.27         23.47gV     W84
     t1ed05c |C2015 01 25.31511909 01 55.643-02 35 09.60         23.34gV     W84
     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t3936fd |C2015 01 25.22864509 03 07.157-02 31 34.76         23.20gV     W84
     t3936fd |C2015 01 25.26570909 03 05.179-02 31 29.69         23.81gV     W84
     t3936fd |C2015 01 25.27918809 03 04.467-02 31 28.10         23.33gV     W84
     t3936fd |C2015 01 25.29043609 03 03.863-02 31 26.47         22.85gV     W84
     t3936fd |C2015 01 25.30389909 03 03.137-02 31 24.68         23.23gV     W84
     t3936fd |C2015 01 25.35998109 03 00.154-02 31 16.99         23.64gV     W84
     t8fe255 |C2015 01 25.35102709 00 39.267-02 25 18.72         22.67gV     W84
     t8fe255 |C2015 01 25.35774209 00 38.872-02 25 19.44         22.52gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t9eab7c |C2015 01 24.36814409 01 33.169-02 37 07.47         22.30gV     W84
     ta2d659 |C2015 01 24.35414909 02 20.262-02 27 37.95         23.27gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
     t1ed05c |C2015 01 25.20889709 02 01.536-02 35 37.86         23.72gV     W84
     t1ed05c |C2015 01 25.23426109 02 00.128-02 35 31.22         23.06gV     W84
     t1ed05c |C2015 01 25.26234509 01 58.569-02 35 23.56         23.10gV     W84
     t1ed05c |C2015 01 25.28593309 01 57.257-02 35 17.27         23.47gV     W84
     t1ed05c |C2015 01 25.31511909 01 55.643-02 35 09.60         23.34gV     W84
     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t3936fd |C2015 01 25.22864509 03 07.157-02 31 34.76         23.20gV     W84
     t3936fd |C2015 01 25.26570909 03 05.179-02 31 29.69         23.81gV     W84
     t3936fd |C2015 01 25.27918809 03 04.467-02 31 28.10         23.33gV     W84
     t3936fd |C2015 01 25.29043609 03 03.863-02 31 26.47         22.85gV     W84
     t3936fd |C2015 01 25.30389909 03 03.137-02 31 24.68         23.23gV     W84
     t3936fd |C2015 01 25.35998109 03 00.154-02 31 16.99         23.64gV     W84
     t8fe255 |C2015 01 25.35102709 00 39.267-02 25 18.72         22.67gV     W84
     t8fe255 |C2015 01 25.35774209 00 38.872-02 25 19.44         22.52gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t9eab7c |C2015 01 24.36814409 01 33.169-02 37 07.47         22.30gV     W84
     ta2d659 |C2015 01 24.35414909 02 20.262-02 27 37.95         23.27gV     W84
     ta2d659 |C2015 01 25.20889709 01 41.342-02 25 40.46         23.80gV     W84
     ta2d659 |C2015 01 25.23762509 01 39.975-02 25 36.31         23.52gV     W84
     ta2d659 |C2015 01 25.26234509 01 38.798-02 25 32.62         23.52gV     W84
     ta2d659 |C2015 01 25.28705709 01 37.624-02 25 29.12         23.42gV     W84
     ta2d659 |C2015 01 25.31735809 01 36.179-02 25 24.76         23.10gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
